"Key","year","author","title_article","journal","doi","url","index","type_article","gen_sample","title","abstract","intro","method","results","discussion","heading","difficulty","notes"
"JX7VL96Q",2020,"Brunellière, Angèle; Delrue, Laurence; Auran, Cyril","The contribution of audiovisual speech to lexical-semantic processing in natural spoken sentences","Language, Cognition and Neuroscience","10.1080/23273798.2019.1641612","https://www.tandfonline.com/doi/full/10.1080/23273798.2019.1641612",1,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3SHBB4AI",2022,"Ringin, Elysha; Meyer, Denny; Neill, Erica; Phillipou, Andrea; Tan, Eric J.; Toh, Wei Lin; Sumner, Philip J.; Owen, Neville; Hallgren, Mats; Dunstan, David W.; Rossell, Susan L.; Van Rheenen, Tamsyn E.","Psychological-health correlates of physical activity and sedentary behaviour during the COVID pandemic","Mental Health and Physical Activity","10.1016/j.mhpa.2022.100481","https://linkinghub.elsevier.com/retrieve/pii/S1755296622000436",4,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L8K9WWKF",2026,"Nguyen, Peter; Yang, Zhiyong","When Strong Social Norms Divide: The Paradoxical Role of Cultural Tightness–Looseness in the Polarity of Online Discourse","Journal of Cross-Cultural Psychology","10.1177/00220221261448127","https://journals.sagepub.com/doi/10.1177/00220221261448127",7,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6ECQ76E3",2023,"Eldesouky, Lameese; English, Tammy","Keeping up appearances: the role of motives and utility beliefs in expressive suppression","Motivation and Emotion","10.1007/s11031-022-09999-2","https://link.springer.com/10.1007/s11031-022-09999-2",8,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4PE9VMG",2018,"Yang, Ziyan; Sedikides, Constantine; Gu, Ruolei; Luo, Yu L L; Wang, Yuqi; Cai, Huajian","Narcissism and risky decisions: a neurophysiological approach","Social Cognitive and Affective Neuroscience","10.1093/scan/nsy053","https://academic.oup.com/scan/article/13/8/889/5054953",11,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAR6JWMR",2024,"Majidi, Elham; Manshaee, Gholamreza","Effects of virtual reality exposure therapy on state-trait anxiety in individuals with dentophobia","Current Psychology","10.1007/s12144-023-04485-5","https://link.springer.com/10.1007/s12144-023-04485-5",16,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P3AY7CFY",2024,"Chen, Yunyun; He, Hong; Zou, Xintong; Zhang, Xuemin","When Good Intention Goes Away: Social Feedback Modulates the Influence of Outcome Valence on Temporal Binding","Cognitive Science","10.1111/cogs.13403","https://onlinelibrary.wiley.com/doi/10.1111/cogs.13403",18,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EANN27DU",2023,"Epihova, Gabriela; Cook, Richard; Andrews, Timothy J.","Recognition of animal faces is impaired in developmental prosopagnosia","Cognition","10.1016/j.cognition.2023.105477","https://linkinghub.elsevier.com/retrieve/pii/S0010027723001117",32,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REZTIWD4",2021,"Braun, Tina; Oertzen, Timo","Empathy, cognitive functioning, and prosocial behavior in mentored children","New Directions for Child and Adolescent Development","10.1002/cad.20409","https://onlinelibrary.wiley.com/doi/10.1002/cad.20409",38,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3KMHLVEH",2022,"Li, Zi-lin; Yue Qi; Mahmut, Mehmet K.; Zou, Lai-quan","Do you often sniff yourself or others? Development of the Body Odor Sniffing Questionnaire and a cross-cultural survey in China and the USA","Physiology & Behavior","10.1016/j.physbeh.2022.113934","https://linkinghub.elsevier.com/retrieve/pii/S0031938422002402",42,"Generalizability",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
