"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"N3AIJ2TP","journalArticle","2023","Carpentier, Naomi; Hermans, Dirk; Scheveneels, Sara","Is It Safe Now? Intolerance of Uncertainty as a Pre-treatment Predictor of Exposure Outcome","Collabra: Psychology","","2474-7394","10.1525/collabra.77777","https://doi.org/10.1525/collabra.77777","Safety learning is considered to be a key aspect in attaining symptom reduction for patients with anxiety disorders. While treatment based on safety learning principles is highly effective in general, individual differences exist in the speed and retention of fear reduction. An individual difference variable that has been demonstrated to be associated with difficulties in safety learning in laboratory paradigms is intolerance of uncertainty, or the incapacity to endure the absence of key information and the corresponding perception of uncertainty. In this study, we sought to determine if intolerance of uncertainty is associated with the course and outcome of an exposure intervention. Intolerance of uncertainty was assessed in 104 subclinical spider-fearful participants, prior to a 30-minute exposure session in virtual reality. While the exposure session was found to be successful in modifying spider fear and avoidance, we failed to find significant correlations between intolerance of uncertainty and any of the outcome measures. Exploratory analyses assessed if intolerance of uncertainty was associated with reductions in physiological arousal during the exposure session itself. No significant correlations were found between intolerance of uncertainty and arousal reduction within the exposure exercises or throughout the session. In conclusion, deviating from some of the findings in extinction research, we failed to find evidence for associations between intolerance of uncertainty and the outcome and course of exposure. Still, additional research is needed to assess the replicability of these findings.","2023-06-23","2026-07-09 09:23:13","2026-07-17 06:26:33","2026-07-09 09:23:13","77777","","1","9","","Collabra: Psychology","Is It Safe Now?","16","","","","","","","","","","","Silverchair","","","","C:\Users\moin\Zotero\storage\MKBWC4UA\Carpentier et al. - 2023 - Is It Safe Now Intolerance of Uncertainty as a Pre-treatment Predictor of Exposure Outcome.pdf","","Traditional Match","","Perugini, Marco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIE7N8BF","journalArticle","2019","Gunnell, Daniel O. A.; Kunar, Melina A.; Norman, Danielle G.; Watson, Derrick G.","The hazards of perception: evaluating a change blindness demonstration within a real-world driver education course","Cognitive Research: Principles and Implications","","2365-7464","10.1186/s41235-019-0165-4","https://doi.org/10.1186/s41235-019-0165-4","Overconfidence in one’s driving ability can lead to risky decision-making and may therefore increase the accident risk. When educating people about the risks of their driving behavior, it is all too easy for individuals to assume that the message is not meant for them and so can be ignored. In this study we developed and assessed the effect of a road safety demonstration based around the phenomenon of change blindness within a real-world Driver Awareness Course. We collected quantitative and qualitative data to evaluate the effectiveness of the demonstration in both a police-led environment (Experiment 1) and a laboratory environment (Experiment 2). We also compared the change blindness intervention to two control tasks. The results showed that participants’ self-reported ability to spot important visual changes was reduced after the change blindness demonstration in both experiments, but was not reduced after participation in the control tasks of Experiment 2. Furthermore, participants described the change blindness demonstrations positively and would recommend that they were shown more widely.","2019-05-21","2026-07-09 07:22:34","2026-07-17 06:26:33","2026-07-09 07:22:34","15","","1","4","","Cogn. Research","The hazards of perception","11","","","","","","en","","","","","Springer Link","","","","C:\Users\moin\Zotero\storage\PFTZVGM4\Gunnell et al. - 2019 - The hazards of perception evaluating a change blindness demonstration within a real-world driver ed.pdf","","Traditional Match","Education; Behavioral change; Change blindness; Driving behavior; Overconfidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7KVS9VL","journalArticle","2024","Ambuehl, Sandro","An experimental test of whether financial incentives constitute undue inducement in decision-making","Nature Human Behaviour","","2397-3374","10.1038/s41562-024-01817-8","https://www.nature.com/articles/s41562-024-01817-8","Around the world, laws limit the incentives that can be paid for transactions such as human research participation, egg donation or gestational surrogacy. A key reason is concerns about ‘undue inducement’—the influential but empirically untested hypothesis that incentives can cause harm by distorting individual decision-making. Here I present two experiments (n = 671 and n = 406), including one based on a highly visceral transaction (eating insects). Incentives caused biased information search—participants offered a higher incentive to comply more often sought encouragement to do so. However, I demonstrate theoretically that such behaviour does not prove that incentives have harmful effects; it is consistent with Bayesian rationality. Empirically, although a substantial minority of participants made bad decisions, incentives did not magnify them in a way that would suggest allowing a transaction but capping incentives. Under the conditions of this experiment, there was no evidence that higher incentives could undermine welfare for transactions that are permissible at low incentives.","2024-05","2026-07-13 20:31:05","2026-07-17 06:26:22","2026-07-13 20:31:05","835-845","","5","8","","Nat Hum Behav","","71","","","","Nature Publishing Group","","en","2024 The Author(s)","","","","www.nature.com","","","","C:\Users\moin\Zotero\storage\VCGKQ6ZZ\Ambuehl - 2024 - An experimental test of whether financial incentives constitute undue inducement in decision-making.pdf","","Traditional Match","Economics; Social policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8X9IKRAX","journalArticle","2021","Frank, Cornelia; Bekemeier, Katharina; Menze-Sonneck, Andrea","Imagery training in school-based physical education improves the performance and the mental representation of a complex action in comprehensive school students","Psychology of Sport and Exercise","","1469-0292","10.1016/j.psychsport.2021.101972","https://www.sciencedirect.com/science/article/pii/S146902922100090X","Objectives Despite evidence that mental practice can promote motor learning and despite the recommendations on the use of imagery training in physical education (PE) from sport education and sport psychology, mental practice has rarely been used for skill acquisition in school-based PE. The purpose of the present study was therefore to develop a 5-week imagery training program for 16- to 19-year old comprehensive school students and to examine its impact on their performance and their mental representation of the pullover on the horizontal bar in gymnastics. Methods During the intervention, the students practiced the pullover to front support in small groups with flash cards, focusing on different key aspects of the action per week. In addition to practicing the pullover to front support on the horizontal bar, students in the imagery training group repeatedly imagined the pullover. The control group did not imagine the pullover during practice phases. We measured motor performance and mental representations of the pullover prior to and after the intervention. Results Consistent with our hypotheses, practicing the pullover led to improvements in motor performance and cognitive representation for both groups, with the imagery training group performing more pullovers to front support, achieving higher movement quality and holding more functional mental representations in their motor memory after the intervention. Conclusions Our findings extend early work in that we show that teachers can effectively integrate imagery training of a complex motor action into a regular PE class and that the combination of mental and physical practice is more beneficial than physical practice alone such as during a regular PE class without imagery training. If tailored to the heterogenous requirements of a school-based PE setting, imagery training can be a powerful means for practice in PE classes. Using imagery training during breaks in between executions led to a higher amount of practice, and promoted motor skill acquisition.","2021-09-01","2026-07-09 08:53:44","2026-07-17 06:24:59","2026-07-09 08:53:44","101972","","","56","","Psychology of Sport and Exercise","","88","","","","","","","","","","","ScienceDirect","","","","C:\Users\moin\Zotero\storage\7XJNRAZ7\Frank et al. - 2021 - Imagery training in school-based physical education improves the performance and the mental represen.pdf","","Traditional Match","Gymnastics; Mental practice; Motor learning; SDA-M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACQ6AL7Z","journalArticle","2022","Chen, Lijun; Jiang, Xiaoliu; Luo, Xiaohui; Kraus, Shane W.; Bőthe, Beáta","The role of impaired control in screening problematic pornography use: Evidence from cross-sectional and longitudinal studies in a large help-seeking male sample","Psychology of Addictive Behaviors","","1939-1501","10.1037/adb0000714","","In help- or treatment-seeking people, there may be a portion of individuals with self-perceived addiction; however, how to distinguish these individuals from help-seeking patients with dysregulated pornography use remains unclear. The present study sought to examine the specific role of impaired control in identifying individuals with self-perceived problems when screening problematic pornography use (PPU) in a large help-seeking male sample (N = 8,845; Mage = 25.82 years, SD = 7.83). Based on the results of latent profile analysis, three groups were identified in the help-seeking sample: Self-perceived PPU group (n = 2,089; 23.6%), impaired control group (n = 4,180; 47.3%), and PPU group (n = 2,576; 29.1%). The self-perceived PPU group was characterized by the highest moral incongruence, but not objectively dysregulated in pornography use. The other two groups met the criteria of impaired control, suggesting that, impaired control may distinguish between self-perceived PPU and dysregulated use in help-seeking men. Six months later, self-reported data were collected again from 972 of these help-seeking men. The longitudinal cross-lagged analysis showed that impaired control at baseline positively predicted PPU at the 6-month follow-up; simultaneously, the reverse association was also significant and positive. In sum, impaired control functioned as a criterion to differentiate between self-perceived PPU and dysregulated pornography use. Impaired control might be used as a robust and reliable predictor of PPU, but it may not be a sufficient criterion of PPU in itself. (PsycInfo Database Record (c) 2025 APA, all rights reserved)","2022","2026-07-13 11:37:14","2026-07-17 06:24:59","","537-546","","5","36","","","The role of impaired control in screening problematic pornography use","85","","","","American Psychological Association","US","","","","","","APA PsycNet","","","","C:\Users\moin\Zotero\storage\2V6AZ4UI\Chen et al. - 2022 - The role of impaired control in screening problematic pornography use Evidence from cross-sectional.pdf","","Traditional Match","Morality; Test Construction; Addiction; Self-Perception; Pornography; Help Seeking Behavior; Diagnostic Criteria; Health Care Seeking Behavior; Self-Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6AW7HDE","journalArticle","2023","Garcia-Guerrero, Santiago; O’Hora, Denis; Zgonnikov, Arkady; Scherbaum, Stefan","The action dynamics of approach-avoidance conflict during decision-making","Quarterly Journal of Experimental Psychology","","1747-0218","10.1177/17470218221087625","https://doi.org/10.1177/17470218221087625","Approach-avoidance conflict is observed in the competing motivations towards the benefits and away from the costs of a decision. The current study investigates the action dynamics of response motion during such conflicts in an attempt to characterise their dynamic resolution. An approach-avoidance conflict was generated by varying the appetitive consequences of a decision (i.e., point rewards and shorter participation time) in the presence of simultaneous aversive consequences (i.e., shock probability). Across two experiments, approach-avoidance conflict differentially affected response trajectories. Approach trajectories were less complex than avoidance trajectories and, as approach and avoidance motivations neared equipotentiality, response trajectories were more deflected from the shortest route to the eventual choice. Consistency in the location of approach and avoidance response options reduced variability in performance enabling more sensitive estimates of dynamic conflict. The time course of competing influences on response trajectories including trial-to-trial effects and conflict between approach and avoidance were estimated using regression analyses. We discuss these findings in terms of a dynamic theory of approach-avoidance that we hope will lead to insights of practical relevance in the field of maladaptive avoidance.","2023-01-01","2026-07-13 07:11:42","2026-07-17 06:24:59","2026-07-13 07:11:42","160-179","","1","76","","","","97","","","","SAGE Publications","","EN","","","","","SAGE Journals","","","","C:\Users\moin\Zotero\storage\9Q7SC5LC\Garcia-Guerrero et al. - 2023 - The action dynamics of approach-avoidance conflict during decision-making.pdf","","Traditional Match","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKE5YEEB","journalArticle","2025","Daniel-Watanabe, Lucie; Cook, Benjamin; Leung, Grace; Krstulović, Marino; Finnemann, Johanna; Woolley, Toby; Powell, Craig; Fletcher, Paul","Using a virtual reality game to train biofeedback-based regulation under stress conditions","Psychophysiology","","1469-8986","10.1111/psyp.14705","https://onlinelibrary.wiley.com/doi/abs/10.1111/psyp.14705","Physiological regulation strategies can be effective in reducing anxiety. However, while these strategies are often learned and practised under low-stress conditions, they are more likely to be required under conditions of high stress. We created virtual reality (VR) biofeedback games to both teach participants a breathing technique and then practise that technique under stress. We present two studies: the first provides a proof of concept, demonstrating that participants can apply the breathing technique during stress, with a significant lowering of both respiration rate and increase in heart rate variability (HRV) under stress (p < .001). The second study explicitly evaluated the effectiveness of training by comparing trained and untrained groups. Training was associated with a significantly greater HRV (p = .008) under stress. In within-group comparisons of HRV during stress compared to a baseline stressor presented before training, the trained group showed a significantly greater increase compared to untrained controls (p = .025). Our results show the feasibility and potential effectiveness of VR-based games for biofeedback training under experimentally applied stress. This may offer the opportunity for clinical techniques to more closely reflect the circumstances under which those techniques will be required.","2025","2026-07-13 06:57:16","2026-07-17 06:24:59","2026-07-13 06:57:16","e14705","","1","62","","","","92","","","","","","en","© 2024 The Author(s). Psychophysiology published by Wiley Periodicals LLC on behalf of Society for Psychophysiological Research.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/psyp.14705","","C:\Users\moin\Zotero\storage\7GDLKYK2\Daniel-Watanabe et al. - 2025 - Using a virtual reality game to train biofeedback-based regulation under stress conditions.pdf","","Traditional Match","anxiety; stress; respiration; interoception; biofeedback; heart rate variability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VMJZDYE","journalArticle","2026","Canova, Luigina; Capasso, Miriam; Bianchi, Marcella; Caso, Daniela","From motivation to mediterranean diet intention and behavior: a combined self-determination theory and theory of planned behavior approach","Psychology & Health","","0887-0446","10.1080/08870446.2025.2496228","https://doi.org/10.1080/08870446.2025.2496228","The Mediterranean diet (MD) is recognized as one of the healthiest and most sustainable dietary patterns worldwide. This study combines the Theory of Planned Behavior (TPB) and Self-Determination Theory (SDT) alongside past MD adherence behavior to predict MD adherence among young and adult Italians. Using a two-wave prospective design, 706 participants (Women = 60.5%, mean age = 31.82) completed measures of past behavior, SDT and TPB variables at baseline (T1) and reported their adherence behavior to MD two weeks later (T2). Results revealed that both intention and past adherence to MD predicted actual adherence. In turn, affective attitude, descriptive norm, perceived behavioral control (PBC), and autonomous motivation were positively associated with intention. Past adherence further predicted autonomous motivation, affective attitude, and PBC, and indirectly influenced MD adherence at T2 through its effect on these factors and intention. Finally, invariance tests showed no differences between women and men and between student and non-student samples. Overall, our findings support the integration of TPB and SDT, emphasizing the need for interventions that address both conscious decision-making and established dietary habits, acknowledging the multifaceted nature of dietary behavior change.","2026-07-03","2026-07-10 12:54:00","2026-07-17 06:24:59","2026-07-10 12:54:00","971-997","","7","41","","","From motivation to mediterranean diet intention and behavior","82","","","","Routledge","","","","","","","Taylor and Francis+NEJM","","_eprint: https://doi.org/10.1080/08870446.2025.2496228","","C:\Users\moin\Zotero\storage\VMQMQCNM\Canova et al. - 2026 - From motivation to mediterranean diet intention and behavior a combined self-determination theory a.pdf","","Traditional Match","theory of planned behavior; autonomous and controlled motivation; Mediterranean diet; past behavior; self-determination theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64IIBQ2J","journalArticle","2021","Chan, Karina; Stevenson, Richard J.; Francis, Heather","The nose is hungrier than the eyes","Psychonomic Bulletin & Review","","1531-5320","10.3758/s13423-020-01843-3","https://doi.org/10.3758/s13423-020-01843-3","Vision and olfaction are the main sensory channels for appraising food prior to eating. Motivational models often assume that these sensory channels function in an equivalent manner. We tested this notion by asking participants to rate their desire for some snacks only via smell and others only via vision. In the next phase, participants consumed a small sample of every snack, now with all of the senses available, rating liking and desire for more. After consuming a meal, participants repeated the desire/liking test. Sensing via olfaction, relative to vision, led to greater desire ratings irrespective of state. When hungry, judgments of liking and desire for more were higher for foods that were initially smelled relative to those that were initially seen. Across the meal, visually based desire ratings declined more than those based on smell, relative to ratings made when the snacks were tasted. Together, this suggests motivational equivalence does not hold for olfaction and vision. We suggest this may be due to a greater reliance on memory for generating visually based desire.","2021-04-01","2026-07-09 08:13:33","2026-07-17 06:24:59","2026-07-09 08:13:33","657-664","","2","28","","Psychon Bull Rev","","90","","","","","","en","","","","","Springer Link","","","","C:\Users\moin\Zotero\storage\S4FRHNW4\Chan et al. - 2021 - The nose is hungrier than the eyes.pdf","","Traditional Match","Motivation; Pleasure; Desire; Olfaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WD2JIR6","journalArticle","2024","Jia, Chenglong; Shen, Yuan; Zhu, Ling; Sun, Li; Du, Kelin; Qin, Jinliang","Into the unknown: Maternal responsiveness influences young children's support-giving expectations of fathers but not unfamiliar others","Infant and Child Development","","1522-7219","10.1002/icd.2496","https://onlinelibrary.wiley.com/doi/abs/10.1002/icd.2496","Interactions with primary caregivers shape children's expectations of interactions with others, but the mechanism is not clear yet. We included Han Chinese children aged 5–6 (N = 121, 61 boys) from a city in East China and tested their support-giving expectations of mothers, fathers and unfamiliar others after observing mother–child interactions with different levels of maternal responsiveness. Across two studies, we found that children's support-giving behaviour and willingness expectations decreased significantly in the unresponsive condition for mothers and fathers but not for unfamiliar others; while these expectations did not change significantly for all partners in the responsive condition. The results suggest that relationship type between children and interaction partners moderates the effects of maternal responsiveness on children's expectations of partners' support-giving. They shed light on how young children understand and represent interpersonal interactions.","2024","2026-07-13 07:32:58","2026-07-17 06:24:53","2026-07-13 07:32:58","e2496","","4","33","","","Into the unknown","44","","","","","","en","© 2024 John Wiley & Sons Ltd.","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/icd.2496","","C:\Users\moin\Zotero\storage\9U4JV2A6\Jia et al. - 2024 - Into the unknown Maternal responsiveness influences young children's support-giving expectations of.pdf","","Traditional Match","fathers; maternal responsiveness; support-giving expectations; unfamiliar others; young children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
