"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JX7VL96Q","journalArticle","2020","Brunellière, Angèle; Delrue, Laurence; Auran, Cyril","The contribution of audiovisual speech to lexical-semantic processing in natural spoken sentences","Language, Cognition and Neuroscience","","2327-3798, 2327-3801","10.1080/23273798.2019.1641612","https://www.tandfonline.com/doi/full/10.1080/23273798.2019.1641612","","2020-07-02","2026-08-07 19:45:38","2026-08-18 19:08:11","2026-08-07 19:45:38","694-711","","6","35","","Language, Cognition and Neuroscience","","1","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\FJPXAPF4\Brunellière et al. - 2020 - The contribution of audiovisual speech to lexical-semantic processing in natural spoken sentences.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SHBB4AI","journalArticle","2022","Ringin, Elysha; Meyer, Denny; Neill, Erica; Phillipou, Andrea; Tan, Eric J.; Toh, Wei Lin; Sumner, Philip J.; Owen, Neville; Hallgren, Mats; Dunstan, David W.; Rossell, Susan L.; Van Rheenen, Tamsyn E.","Psychological-health correlates of physical activity and sedentary behaviour during the COVID pandemic","Mental Health and Physical Activity","","17552966","10.1016/j.mhpa.2022.100481","https://linkinghub.elsevier.com/retrieve/pii/S1755296622000436","Background: While physical inactivity is associated with adverse psychological outcomes, less is known about the psychological outcomes associated with sedentary behaviour, and specifically, its mentally active and passive forms. The COVID-19 pandemic represents a unique opportunity to study associations between these variables in light of widespread stay-at-home mandates and restrictions on outdoor exercise/social activities. Using a crosssectional dataset acquired during the COVID-19 pandemic in Australia, we examined whether physical activity and sedentary behaviour were associated with subjective quality of life (sQoL) and subjective cognitive dysfunction, and whether these associations were mediated by depressive symptoms. Methods: 658 participants (males = 169, females = 489) self-reported data on physical activity and sedentary behaviour in an online survey during May 2020–May 2021. Data on physical activity and sedentary behaviour (both mentally active and passive types) was compared according to whether it was collected during or out of a lockdown period. Regression models were used to test associations of physical activity and sedentary behaviour with sQoL and subjective cognitive dysfunction, and whether these associations were mediated by depression severity. Results: Physical activity was beneficially associated with sQoL, whereas sedentary behaviour (both total hours and the reduction of mentally active/increase in mentally passive behaviour) was detrimentally associated with sQoL. These associations were mediated by depression severity. Physical activity and sedentary behaviour were also indirectly associated with subjective cognitive dysfunction by virtue of their associations with depression severity. Conclusions: There are important differences in the psychological correlates of mentally passive and active sedentary behaviours. Our findings suggest that health promotion strategies should focus on not only increasing physical activity but also reducing passive sedentary behaviours as a means of maintaining good psychological health.","2022-10","2026-08-07 20:40:26","2026-08-18 19:09:25","2026-08-07 20:40:26","100481","","","23","","Mental Health and Physical Activity","","4","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\K8DJX7EL\Ringin et al. - 2022 - Psychological-health correlates of physical activity and sedentary behaviour during the COVID pandem.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L8K9WWKF","journalArticle","2026","Nguyen, Peter; Yang, Zhiyong","When Strong Social Norms Divide: The Paradoxical Role of Cultural Tightness–Looseness in the Polarity of Online Discourse","Journal of Cross-Cultural Psychology","","0022-0221, 1552-5422","10.1177/00220221261448127","https://journals.sagepub.com/doi/10.1177/00220221261448127","While online polarization has garnered significant global attention, the role of societal culture in shaping polarized discourse remains underexplored. This research examines how cultural tightness–looseness—the extent to which social norms are strongly enforced and deviance is sanctioned—influences the polarity of online discourse, conceptualized as divergence in expressed evaluations across users rather than individual extremity. Building on compensatory behavior theory, the authors propose that chronic normative constraint in tight cultures motivates compensatory expression in digital environments where monitoring and sanctions are weaker, producing greater dispersion in expressed evaluations. Across three large-scale field studies, tight (vs. loose) cultures exhibit systematically different levels of discourse polarity across Booking.com reviews, Twitter microblogs, and               The New York Times               comment forums, at both national and U.S. state levels. Critically, this compensatory dynamic is context-dependent: cultural tightness amplifies discourse polarity in low-normative-salience domains (e.g., product and service evaluations) but constrains polarized expression in high-normative-salience domains (e.g., political discourse). These findings advance tightness–looseness theory by revealing its context-sensitive effects on expression, extend compensatory behavior theory to aggregate online discourse, and position societal norm strength as a macro-level driver of polarization in digital environments.","2026-05-08","2026-08-07 21:10:43","2026-08-18 19:09:18","2026-08-07 21:10:43","00220221261448127","","","","","Journal of Cross-Cultural Psychology","When Strong Social Norms Divide","7","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\AV3SXXSD\Nguyen and Yang - 2026 - When Strong Social Norms Divide The Paradoxical Role of Cultural Tightness–Looseness in the Polarit.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ECQ76E3","journalArticle","2023","Eldesouky, Lameese; English, Tammy","Keeping up appearances: the role of motives and utility beliefs in expressive suppression","Motivation and Emotion","","0146-7239, 1573-6644","10.1007/s11031-022-09999-2","https://link.springer.com/10.1007/s11031-022-09999-2","We examined the role of impression management motives and utility beliefs in predicting suppression. In Study 1, 222 participants were assigned one of four motives (warmth, competence, pro-hedonic, control) during a job interview and reported their strategy use. In Study 2, 150 participants completed 9 days of experience sampling surveys assessing momentary emotion regulation motives and strategy use. In both studies, participants reported suppression utility beliefs. Lab results suggested a decreased preference for suppression when pursuing warmth motives over competence motives. This effect did not emerge when examining daily motives. In both studies however, people believed it was more useful to suppress negative than positive emotions, and more useful to suppress negative emotion when appearing competent than warm. Utility beliefs did not predict suppression or moderate motive-strategy links. Overall, there was mixed evidence about how suppression links to specific motives. Results suggest suppression is perceived as useful for certain impressions, but people do not act in accordance with these beliefs.","2023-06","2026-08-07 21:17:32","2026-08-18 19:08:24","2026-08-07 21:17:32","381-398","","3","47","","Motiv Emot","Keeping up appearances","8","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\FL2L8PCX\Eldesouky and English - 2023 - Keeping up appearances the role of motives and utility beliefs in expressive suppression.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R4PE9VMG","journalArticle","2018","Yang, Ziyan; Sedikides, Constantine; Gu, Ruolei; Luo, Yu L L; Wang, Yuqi; Cai, Huajian","Narcissism and risky decisions: a neurophysiological approach","Social Cognitive and Affective Neuroscience","","1749-5016, 1749-5024","10.1093/scan/nsy053","https://academic.oup.com/scan/article/13/8/889/5054953","Narcissists are prone to risky decision-making, but why? This study tested—via behavioral and event-related potential (ERP) measures—two accounts: deficiencies in error monitoring and deficiencies in action updating. High and low narcissists were engaged in a monetary gambling task by choosing between a high-risk and a low-risk option while the electroencephalogram (EEG) was being recorded. Two ERP components relevant to outcome evaluation—feedback-related negativity (FRN) and P3—were analyzed, with the FRN serving as an index of error monitoring and the P3 as an index of action updating. Generally, high and low narcissists differed in the high-risk condition but not in the low-risk condition. At the behavioral level, high (vs low) narcissists made riskier decisions following high-risk decision outcomes, which was in line with past findings; at the neurophysiological level, while no FRN difference emerged between high and low narcissists, the outcome valence effect (positive vs negative) on the P3 was stronger among low narcissists than high narcissists following high-risk decision outcomes. One possible interpretation of the results is that narcissism is associated with reduced action updating. The findings contribute to the understanding of narcissistic decision-making and self-regulation.","2018-09-05","2026-08-10 17:03:22","2026-08-18 19:09:35","2026-08-10 17:03:22","889-897","","8","13","","","Narcissism and risky decisions","11","","","","","","en","http://creativecommons.org/licenses/by-nc/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\M32MF5W9\Yang et al. - 2018 - Narcissism and risky decisions a neurophysiological approach.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAR6JWMR","journalArticle","2024","Majidi, Elham; Manshaee, Gholamreza","Effects of virtual reality exposure therapy on state-trait anxiety in individuals with dentophobia","Current Psychology","","1046-1310, 1936-4733","10.1007/s12144-023-04485-5","https://link.springer.com/10.1007/s12144-023-04485-5","Dentophobia can reduce visits to dental offices and, thereby endangering the oral health of individuals. The present study aimed to investigate the effects of virtual reality exposure therapy (VRET) on state-trait anxiety in individuals with dentophobia. This quasi-experimental research adopted a pretest-posttest control group design with a 45-day follow-up period. The statistical population included all individuals with dentophobia who visited dental offices in Isfahan, Tehran, and Shahrekord, Iran within 2020–21. The convenience sampling method was employed to select 40 participants as the research sample with respect to the inclusion and exclusion criteria. They were then randomly assigned to the experimental group and the control group equally (i.e., 20 participants per group). Participants in the experimental group attended eight 15-minute sessions of VRET, whereas those in the control group received no intervention. In fact, they were placed on a waiting list. To collect data, the state-trait anxiety inventory (STAI) was used. The multivariate analysis of covariance was used for data analysis. The results indicated the significant effect of the VRET on state-trait anxiety, as the posttest mean scores of state anxiety and trait anxiety decreased in the experimental group as opposed to the pretest scores (p < 0.01). Hence, the VRET can be considered an effective intervention in reducing state-trait anxiety in individuals with dentophobia.","2024-01","2026-08-10 17:06:50","2026-08-18 19:09:12","2026-08-10 17:06:50","2425-2431","","3","43","","Curr Psychol","","16","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\CLRW9B7A\Majidi and Manshaee - 2024 - Effects of virtual reality exposure therapy on state-trait anxiety in individuals with dentophobia.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3AY7CFY","journalArticle","2024","Chen, Yunyun; He, Hong; Zou, Xintong; Zhang, Xuemin","When Good Intention Goes Away: Social Feedback Modulates the Influence of Outcome Valence on Temporal Binding","Cognitive Science","","0364-0213, 1551-6709","10.1111/cogs.13403","https://onlinelibrary.wiley.com/doi/10.1111/cogs.13403","Abstract             The retrospective view of temporal binding (TB), the temporal contraction between one's actions and their effects, proposes that TB is influenced by what happens after the action. However, the role of the interaction between multiple sources of information following the action in the formation of TB has received limited attention. The current study aims to address this gap by investigating the combined influence of social feedback and outcome valence (i.e., positive or negative outcomes) on TB. In Experiment 1, the valenced outcome was followed by either positive or negative social feedback. The results showed that negative social feedback enlarged the difference between TB over negative and positive outcomes relative to positive social feedback. The modulatory effect of social feedback on TB was not observed in the absence of causal beliefs between actions and outcomes (Experiment 2). These results highlight the importance of considering the complex interplay between cognitive, emotional, and social factors in shaping our subjective temporal experience.","2024-01","2026-08-10 17:37:54","2026-08-18 19:08:18","2026-08-10 17:37:54","e13403","","1","48","","Cognitive Science","When Good Intention Goes Away","18","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\B5BHQGM7\Chen et al. - 2024 - When Good Intention Goes Away Social Feedback Modulates the Influence of Outcome Valence on Tempora.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EANN27DU","journalArticle","2023","Epihova, Gabriela; Cook, Richard; Andrews, Timothy J.","Recognition of animal faces is impaired in developmental prosopagnosia","Cognition","","00100277","10.1016/j.cognition.2023.105477","https://linkinghub.elsevier.com/retrieve/pii/S0010027723001117","","2023-08","2026-08-10 18:01:23","2026-08-18 19:08:30","2026-08-10 18:01:23","105477","","","237","","Cognition","","32","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\LT46NKBG\Epihova et al. - 2023 - Recognition of animal faces is impaired in developmental prosopagnosia.pdf; C:\Users\moin\Zotero\storage\5LNR7PBY\Epihova et al. - 2023 - Recognition of animal faces is impaired in developmental prosopagnosia.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REZTIWD4","journalArticle","2021","Braun, Tina; Oertzen, Timo","Empathy, cognitive functioning, and prosocial behavior in mentored children","New Directions for Child and Adolescent Development","","1520-3247, 1534-8687","10.1002/cad.20409","https://onlinelibrary.wiley.com/doi/10.1002/cad.20409","","2021-09","2026-08-10 18:09:48","2026-08-18 19:08:02","2026-08-10 18:09:48","41-57","","179","2021","","New Drctns Chld & Adlscnt","","38","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\9YP6KNT5\Braun and Oertzen - 2021 - Empathy, cognitive functioning, and prosocial behavior in mentored children.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KMHLVEH","journalArticle","2022","Li, Zi-lin; Yue Qi; Mahmut, Mehmet K.; Zou, Lai-quan","Do you often sniff yourself or others? Development of the Body Odor Sniffing Questionnaire and a cross-cultural survey in China and the USA","Physiology & Behavior","","00319384","10.1016/j.physbeh.2022.113934","https://linkinghub.elsevier.com/retrieve/pii/S0031938422002402","","2022-10","2026-08-10 18:29:29","2026-08-18 19:09:05","2026-08-10 18:29:29","113934","","","255","","Physiology & Behavior","Do you often sniff yourself or others?","42","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\7BAVPDWN\Li et al. - 2022 - Do you often sniff yourself or others Development of the Body Odor Sniffing Questionnaire and a cro.pdf","","Generalizability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
