id,year,journal,author,title,doi,rater,include_initial,initial_no_reason,include_final,no_reason,type,prereg_link,notes
SGY2MHS4,2024,PSYCHOPHYSIOLOGY,"Abado, Elinor; Aue, Tatjana; Pourtois, Gilles; Okon-Singer, Hadas",Expectancy and attention bias to spiders: Dissecting anticipation and allocation processes using ERPs,10.1111/psyp.14546,all,yes,,yes,,rr,https://osf.io/64nzq/registrations,
4KGLBKIK,2025,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"Amarasekera, Anurada U.; Travis, Kelton L.; Castaneto, Kristina K.; Cash, Tiara A.; Aknin, Lara B.",What types of gratitude expressions promote prosocial behavior?: A registered report,10.1016/j.jesp.2025.104805,all,yes,,yes,,rr,https://osf.io/tacf8/files/nhc4w,"Stage 1 not formally registered, but each study was registered on aspredicted"
LIJVHUVN,2025,ACTA PSYCHOLOGICA,"Anna, Manfredi; Giulio, Puzella; Landi, David; Iacono, Iolanda; Michilli, Jacopo; Alessandro, Gabbiadini",AI-driven digital humans for E-contact: A pre-registered study on reducing intergroup bias with generative artificial intelligence,10.1016/j.actpsy.2025.105129,all,no,stage 1,no,stage 1,not_rr_after_all,NA,
N25ASW4T,2025,STRESS AND HEALTH,"Arkesteijn, Marco; Bennett, Rachel; Davies, Jennifer L.; Sumner, Rachel C.",Does Allostatic Load in 50-89-Year-Olds Predict the Development of Frailty? Evidence From a National Longitudinal Study Over 12 Years,10.1002/smi.3517,all,no,stage 1,no,stage 1,not_rr_after_all,NA,
IMG3AEML,2025,NATURE HUMAN BEHAVIOUR,"Batruch, Anatolia; Sommet, Nicolas; Autin, Frederique",Advancing the psychology of social class with large-scale replications in four countries,10.1038/s41562-025-02234-1,all,yes,,no,replication,replication,https://osf.io/b6y8r/overview,
I3IGBVH7,2026,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"Berkovich, Rotem; Reggev, Niv",Registered report stage I: Is it unpleasant to predict kindergarten teacher = man? Testing the emotional response to the anticipation of confirmation or violation of gendered stereotypes,10.1016/j.jesp.2025.104854,all,no,stage 1,no,stage 1,not_rr_after_all,NA,
A68TG4J7,2024,PSYCHOLOGY OF SPORT AND EXERCISE,"Bird, Jonathan M.; Karageorghis, Costas I.; Jones, Leighton; Harris, David J.; Alharbi, Mohammed; Vine, Samuel J.",Beyond Rubik: The Embodiment-Presence-Interactivity Cube applied to exercise,10.1016/j.psychsport.2024.102684,all,yes,,no,no stage 1,not_rr_after_all,NA,Prereg but no Stage 1
6WZP278Z,2023,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"Blok, Elisabet; Lamballais, Sander; Benitez-Manzanas, Laia; White, Tonya","Stage 2 Registered Report: The Bidirectional Relationship Between Brain Features and the Dysregulation Profile: A Longitudinal, Multimodal Approach",10.1016/j.jaac.2023.03.024,all,yes,,yes,,rr,https://www.jaacap.org/article/S0890-8567(22)00117-4/fulltext,"A brief registeratrion on the journal page, but it seems to count"
RB5CNKVK,2024,NATURE HUMAN BEHAVIOUR,"Blume, Christine; Cajochen, Christian; Schoellhorn, Isabel; Slawik, Helen C.; Spitschan, Manuel",Effects of calibrated blue-yellow changes in light on the human circadian clock,10.1038/s41562-023-01791-7,all,yes,,no,no stage 1,rr,https://doi.org/10.6084/m9.figshare.13050215,Stage 1 still under embargo!
7U2KB8VB,2024,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,"Bo, Simen; Sjastad, Hallgeir",Revisiting the moral forecasting error - A preregistered replication and extension of “Are we more moral than we think?”,10.1016/j.jesp.2024.104662,all,yes,,no,replication,replication,https://osf.io/47m8k/overview,replication and extension
J23CHR6K,2023,JUDGMENT AND DECISION MAKING,"Bogdanov, Boris; Corbin, Jonathan; Dobreva, Sabina; Mcelroy, Todd; Rachev, Nikolay R.",Working memory capacity and the risky-choice framing effect: A preregistered replication and extension of Corbin et al. (2010),10.1017/jdm.2023.40,all,yes,,no,replication,replication,https://osf.io/hw2sm/overview,replication and extension
BASLLP9S,2026,PSYCHONOMIC BULLETIN & REVIEW,"Bowes, Shauna M.; Fazio, Lisa K.",Does repetition increase perceived truth equally for conspiracy and trivia statements? A registered replication report,10.3758/s13423-025-02836-w,all,yes,,no,no stage 1,not_rr_after_all,,"article has multiple statements abouts RR and prereg, but could not find anything"
S9Y75BNQ,2026,BRITISH JOURNAL OF PSYCHOLOGY,"Breitwieser, Jasmin; Reinelt, Tilman",The effectiveness of implementation intentions in children: A systematic review and meta-analysis,10.1111/bjop.70065,all,yes,,yes,,rr,https://osf.io/97vcu/overview,"Stage 1 not linked in project page, but found by searching registry"
B8BNDNY3,2024,PSYCHOLOGY OF SPORT AND EXERCISE,"Brito, Henrique; Lopes, Henrique; de Carvalho, Margarida Vaz; Carrilho, Daniel; Carvalho, Adriano; Araujo, Duarte","The effects of nature-based vs. indoor settings on the adaptability, performance and affect of calisthenics exercisers. A registered report",10.1016/j.psychsport.2024.102626,all,yes,,yes,,rr,https://clinicaltrials.gov/study/NCT05090501?id=NCT05090501&viewType=Card&rank=1,
