Key,Publication.Year,Author,Title,Publication.Title,DOI,Url,title_rel,abstract,intro,method,results,discussion,heading,difficulty,notes
24MUR8MS,2022,"Tybur, Joshua M.; Croijmans, Ilja M.; van Huijstee, Dian; Çınar, Çağla; Lal, Vedika; Smeets, Monique A. M.",Disgust sensitivity relates to affective responses to – but not ability to detect – olfactory cues to pathogens,Evolution and Human Behavior,10.1016/j.evolhumbehav.2022.04.006,https://www.sciencedirect.com/science/article/pii/S1090513822000277,NA,NA,NA,NA,NA,NA,NA,NA,NA
25YE6KVP,2025,"Viktorsson, Charlotte; Ronald, Angelica; Falck-Ytter, Terje",A Comparison of Sleep and Settle Behaviours Across Twins and Singletons at 5 Months of Age,Infant and Child Development,10.1002/icd.2564,https://onlinelibrary.wiley.com/doi/abs/10.1002/icd.2564,NA,NA,NA,NA,NA,NA,NA,NA,NA
27KAT3TY,2025,"Sezer, Berke; Gucciardi, Daniel F.; Ntoumanis, Nikos; Riddell, Hugh",Investigating the role of goal motives in predicting bedtime procrastination using a daily diary study design: a registered report,Psychology & Health,10.1080/08870446.2025.2458871,,NA,NA,NA,NA,NA,NA,NA,NA,NA
2AQBXZRY,2025,"Conway, Christopher C.; Ilagan, Gabrielle S.; Rabasco, Ana; Lopez, Maria Martin; Goodrich, Molly; Kuehn, Kevin S.; King, Kevin M.",Registered Report Stage II: A within-person model of distress tolerance and non-suicidal self-injury among adults with recurrent self-injury,Journal of Research in Personality,10.1016/j.jrp.2025.104623,,NA,NA,NA,NA,NA,NA,NA,NA,NA
2CYV9DY7,2020,"Tzavella, Loukia; Maizey, Leah; Lawrence, Andrew D.; Chambers, Christopher D.",The affective priming paradigm as an indirect measure of food attitudes and related choice behaviour,Psychonomic Bulletin & Review,10.3758/s13423-020-01764-1,https://doi.org/10.3758/s13423-020-01764-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2GZQT8M7,2021,"Marr, Carey; Sauerland, Melanie; Otgaar, Henry; Quaedflieg, Conny W.E.M.; Hope, Lorraine",Mitigating the negative effects of retrieval stress on memory: an arousal reappraisal intervention,Memory,10.1080/09658211.2021.1893750,https://doi.org/10.1080/09658211.2021.1893750,NA,NA,NA,NA,NA,NA,NA,NA,NA
2HTCKZ3A,2010,"Carver, Charles S.; Sinclair, Sungchoon; Johnson, Sheri L.","Authentic and hubristic pride: Differential relations to aspects of goal regulation, affect, and self-control",Journal of Research in Personality,10.1016/j.jrp.2010.09.004,https://linkinghub.elsevier.com/retrieve/pii/S0092656610001236,NA,NA,NA,NA,NA,NA,NA,NA,NA
2KVRTHIX,2010,"Tavano, Alessandro; Borgatti, Renato","Evidence for a link among cognition, language and emotion in cerebellar malformations",Cortex,10.1016/j.cortex.2009.07.017,https://www.sciencedirect.com/science/article/pii/S0010945209002585,NA,NA,NA,NA,NA,NA,NA,NA,NA
2PRSP4RM,2023,"Wirth, Benedikt Emanuel; Wentura, Dirk",Not lie detection but stereotypes: Response priming reveals a gender bias in facial trustworthiness evaluations,Journal of Experimental Social Psychology,10.1016/j.jesp.2022.104406,https://www.sciencedirect.com/science/article/pii/S0022103122001251,NA,NA,NA,NA,NA,NA,NA,NA,NA
2T2RV8MA,2022,"Davis, Colin J.; Golding, Matt; McKay, Ryan",Efficacy information influences intention to take COVID-19 vaccine,British Journal of Health Psychology,10.1111/bjhp.12546,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjhp.12546,NA,NA,NA,NA,NA,NA,NA,NA,NA
