"id","source","year","journal","author","title","doi","prereg_link","notes"
"1067","liu",2023,"Cortex","Vormbrock, Ria; Bruchmann, Maximilian; Menne, Lucas; Straube, Thomas; Schindler, Sebastian","Testing stimulus exposure time as the critical factor of increased EPN and LPP amplitudes for fearful faces during perceptual distraction tasks","10.1016/j.cortex.2022.12.011","https://osf.io/ry5s6/overview",""
"1138","liu",2022,"Collabra","Jaffé, Mariela E.; Douneva, Maria; Greifeneder, Rainer","When Choosing Implies Losing: Does Flipping a Coin Increase Forfeiture Thoughts?","10.1525/collabra.33941","https://osf.io/hr3b9/registrations",""
"1001","liu",2019,"Nature Human Behaviour","He, Joyce C.; Côté, Stéphane","Self-insight into emotional and cognitive abilities is not related to higher adjustment","10.1038/s41562-019-0644-0","https://doi.org/10.6084/m9.figshare.c.4283567",""
"32I6QUS9","new",2025,"Journal Of Personality And Social Psychology","Tidwell, Colin A.; Danvers, Alexander F.; Pfeifer, Valeria A.; Abel, Danielle B.; Alisic, Eva; Beer, Andrew; Bierstetel, Sabrina J.; Bollich-Ziegler, Kathryn L.; Bruni, Michelle; Calabrese, William R.; Chiarello, Christine; Demiray, Burcu; Dimidjian, Sona; Fingerman, Karen L.; Haas, Maximilian; Kaplan, Deanna M.; Kim, Yijung K.; Knezevic, Goran; Lazarevic, Ljiljana B.; Luo, Minxia; Macbeth, Alessandra; Manson, Joseph H.; Mascaro, Jennifer S.; Metcalf, Christina; Minor, Kyle S.; Moseley, Suzanne; Polsinelli, Angelina J.; Raison, Charles L.; Rilling, James K.; Robbins, Megan L.; Sbarra, David; Slatcher, Richard B.; Sun, Jessie; Vasileva, Mira; Vazire, Simine; Mehl, Matthias R.","Are Women Really (Not) More Talkative Than Men? A Registered Report of Binary Gender Similarities/Differences in Daily Word Use","10.1037/pspp0000534","https://osf.io/d6t53/overview",""
"9UPDP957","new",2024,"Infant And Child Development","Woods, Adrienne D.; Jiao, June L. L.; Morgan, Paul L.; Buxton, Orfeu M.","Is sleep longitudinally related to children's achievement, executive function and classroom behaviour?","10.1002/icd.2426","https://osf.io/6h9r3/overview",""
"MBWMMP6V","new",2025,"Journal Of Experimental Social Psychology","Muller-Boysen, Thekla; Pirla, Sergio; Pfattheicher, Stefan","On the relation between boredom and social behavior: A registered report","10.1016/j.jesp.2025.104804","https://osf.io/cav4d/files/a7smq","not formally registered"
"1074","liu",2023,"Cortex","Fürtjes, Anna E.; Cole, James H.; Couvy-Duchesne, Baptiste; Ritchie, Stuart J.","A quantified comparison of cortical atlases on the basis of trait morphometricity","10.1016/j.cortex.2022.11.001","https://osf.io/dkw9t/overview",""
"1002","liu",2019,"Nature Human Behaviour","Brannon, Skylar M.; Carr, Sarah; Jin, Ellie Shuo; Josephs, Robert A.; Gawronski, Bertram","Exogenous testosterone increases sensitivity to moral norms in moral dilemma judgements","10.1038/s41562-019-0641-3","https://osf.io/rysbe/files/n3suw",""
"1079","liu",2023,"Cortex","D'Agostini, Martina; Burger, Andreas M.; Franssen, Mathijs; Perkovic, Ana; Claes, Stephan; Von Leupoldt, Andreas; Murphy, Peter R.; Van Diest, Ilse","Short bursts of transcutaneous auricular vagus nerve stimulation enhance evoked pupil dilation as a function of stimulation parameters","10.1016/j.cortex.2022.11.012","https://osf.io/wvt9y/overview",""
"1128","liu",2019,"Cognitive Research: Principles And Implications","Beanland, Vanessa; Wynne, Rachael A.","Effects of roadside memorials on drivers’ risk perception and eye movements","10.1186/s41235-019-0184-1","https://doi.org/10.6084/m9.figshare.6181937",""
"1097","liu",2023,"Cortex","Tröndle, Marius; Popov, Tzvetan; Pedroni, Andreas; Pfeiffer, Christian; Barańczuk-Turska, Zofia; Langer, Nicolas","Decomposing age effects in EEG alpha power","10.1016/j.cortex.2023.02.002","https://osf.io/fb6pc/overview",""
"1080","liu",2019,"Cortex","Ching, April Shi Min; Kim, Jeesun; Davis, Chris","Auditory–visual integration during nonconscious perception","10.1016/j.cortex.2019.02.014","https://osf.io/sbntf/overview",""
"1206","liu",2025,"Psychology & Health","Pluta, Kathryn; More, Kimberly R.; Phillips, L. Alison","Predicting implicit and explicit exercise identity from descriptive social norms regarding exercise","10.1080/08870446.2022.2156580","https://osf.io/x9kvh/overview",""
"1231","liu",2022,"Experimental Psychology","Luna, Karlos; Albuquerque, Pedro B.","Do Beliefs About Font Size Affect Retrospective Metamemory Judgments in Addition to Prospective Judgments?","10.1027/1618-3169/a000549","https://osf.io/z62gk/files/w9cfq","Stage 1 not formally registered"
"G4VLFQU4","new",2023,"Journal Of Experimental Social Psychology","Wenzel, Mario; Rowland, Zarah; Nielsen, Kristian Steensen; Lange, Florian","Too much praise for reappraisal? Examining reappraisal's impact on threat mitigation depending on its implementation: A registered report","10.1016/j.jesp.2023.104475","https://osf.io/9v6z7/overview",""
"1196","liu",2020,"Psychonomic Bulletin & Review","Tzavella, Loukia; Maizey, Leah; Lawrence, Andrew D.; Chambers, Christopher D.","The affective priming paradigm as an indirect measure of food attitudes and related choice behaviour","10.3758/s13423-020-01764-1","https://osf.io/y2tus/overview",""
"WSVNWNAW","new",2025,"Psychology Of Addictive Behaviors","King, Kevin M.; Dora, Jonas; Schultz, Megan; McCabe, Connor J.; Lee, Christine M.; Shoda, Yuichi; Fairlie, Anne M.; Litt, Dana M.; Lewis, Melissa A.; Patrick, Megan E.; Smith, Gregory T.","Within-Day Associations Between Affect and Intentions to Drink Alcohol in Adolescents and Young Adults: A Registered Report","10.1037/adb0001074","https://osf.io/eu29a/overview",""
"1102","liu",2022,"Psychology Of Addictive Behaviors","Grubbs, Joshua B.; Floyd, Christopher G.; Griffin, Kaelyn R.; Jennings, Todd L.; Kraus, Shane W.","Moral incongruence and addiction: A registered report.","10.1037/adb0000876","https://osf.io/npk9x/overview",""
"1045","liu",2020,"Journal Of Experimental Social Psychology","Landwehr, Jan R.; Eckmann, Lisa","The nature of processing fluency: Amplification versus hedonic marking","10.1016/j.jesp.2020.103997","https://osf.io/kbmf5/registrations",""
"4H2JWJ9B","new",2025,"Infant And Child Development","Mather, Emily; Lindsay, Shane","How Well Do Children Remember Fast-Mapped Words? A Pre-Registered Meta-Analysis of Retention Following the Mutual Exclusivity Response","10.1002/icd.70019","https://osf.io/gx7rf/overview","had to consult full text to determine was stage 2 registered report"
"1006","liu",2021,"Nature Human Behaviour","Eldar, Eran; Felso, Valkyrie; Cohen, Jonathan D.; Niv, Yael","A pupillary index of susceptibility to decision biases","10.1038/s41562-020-01006-3","https://doi.org/10.6084/m9.figshare.c.4368452",""
"1063","liu",2021,"Psychology Of Sport And Exercise","McNeill, Eoghan; Toth, Adam J.; Ramsbottom, Niall; Campbell, Mark J.","Self-modelled versus skilled-peer modelled AO+MI effects on skilled sensorimotor performance: A stage 2 registered report","10.1016/j.psychsport.2021.101910","https://doi.org/10.1016/j.psychsport.2020.101683",""
"TASIGNHQ","new",2023,"Cortex","Szaszi, Barnabas; Palfi, Bence; Neszveda, Gabor; Taka, Aikaterini; Szecsi, Peter; Blattman, Christopher; Jamison, Julian C.; Sheridan, Margaret","Does alleviating poverty increase cognitive performance? Short- and long-term evidence from a randomized controlled trial","10.1016/j.cortex.2023.07.009","https://osf.io/k56yv/overview",""
"1070","liu",2020,"Cortex","Scullin, Michael K.; Ball, B. Hunter; Bugg, Julie M.","Structural correlates of commission errors in prospective memory","10.1016/j.cortex.2019.10.013","https://osf.io/pqv9j/files/twzq2",""
"1137","liu",2023,"Collabra","Xiao, Leon Y.","Breaking Ban: Belgium’s Ineffective Gambling Law Regulation of Video Game Loot Boxes","10.1525/collabra.57641","https://osf.io/5mxp6/overview",""
"1167","liu",2019,"Judgment And Decision Making","Zgonnikov, Arkady; Atiya, Nadim A. A.; O’Hora, Denis; Rañò, Iñaki; Wong-Lin, KongFatt","Beyond reach: Do symmetric changes in motor costs affect decision making? A registered report","10.1017/S1930297500006136","https://osf.io/c3xgn/overview",""
"BVJUAWCI","new",2023,"Nature Human Behaviour","Nichols, Aaron D.; Axt, Jordan; Gosnell, Evelyn; Ariely, Dan","A field study of the impacts of workplace diversity on the recruitment of minority group members","10.1038/s41562-023-01731-5","https://doi.org/10.6084/m9.figshare.14043368.v1","mention pilot study but not reported on"
"1061","liu",2021,"Developmental Science","Havron, Naomi; Babineau, Mireille; Christophe, Anne","18-month-olds fail to use recent experience to infer the syntactic category of novel words","10.1111/desc.13030","https://osf.io/ujesx/files/rde4z","not formally registered"
"1125","liu",2020,"Cognitive Research: Principles And Implications","Liu, Huanxu; Yang, Jingwen; Yamada, Yuki","Heat and fraud: evaluating how room temperature influences fraud likelihood","10.1186/s41235-020-00261-2","https://osf.io/av9px/overview",""
"CSBDFYPH","new",2025,"Psychonomic Bulletin & Review","Ruzzante, Federica; Cevolani, Gustavo; Panizza, Folco","Scrolling to wisdom: The impact of social media news exposure on knowledge perception","10.3758/s13423-025-02786-3","https://osf.io/dc3ab/files/dvtm6","not formally registered"
"7DDB47IR","new",2024,"British Journal Of Psychology","Silverstein, Priya; Pennington, Charlotte R.; Branney, Peter; O'Connor, Daryl B.; Lawlor, Emma; O'Brien, Emer; Lynott, Dermot","A registered report survey of open research practices in psychology departments in the UK and Ireland","10.1111/bjop.12700","https://osf.io/xcdnt/files/waet9","not formally registered; info is also included as appendix in article"
"1098","liu",2022,"Evolution And Human Behavior","Fan, Lei; Tybur, Joshua M.; Jones, Benedict C.","Are people more averse to microbe-sharing contact with ethnic outgroup members? A registered report","10.1016/j.evolhumbehav.2022.08.007","https://osf.io/6rgf4/overview",""
"1227","liu",2023,"Quarterly Journal Of Experimental Psychology","Yüvrük, Elif; Starns, Jeffrey; Kapucu, Aycan","Does misremembering drive false alarms for emotional lures? A diffusion model investigation","10.1177/17470218221137347","https://osf.io/f7a4j/files/4bqzh","Stage 1 not formally registered"
"1149","liu",2020,"International Journal Of Psychophysiology","Morriss, Jayne; Biagi, Nicolò; Dodd, Helen","Your guess is as good as mine: A registered report assessing physiological markers of fear and anxiety to the unknown in individuals with varying levels of intolerance of uncertainty","10.1016/j.ijpsycho.2020.07.009","https://osf.io/v2zgb/registrations",""
"1109","liu",2019,"Journal Of Research In Personality","Ludwig, Rita M.; Flournoy, John C.; Berkman, Elliot T.","Inequality in personality and temporal discounting across socioeconomic status? Assessing the evidence","10.1016/j.jrp.2019.05.003","https://osf.io/sm52z/overview",""
"1122","liu",2020,"Cognitive Research: Principles And Implications","Morrison, Alexandra B.; Richmond, Lauren L.","Offloading items from memory: individual differences in cognitive offloading in a short-term memory task","10.1186/s41235-019-0201-4","https://osf.io/aq5ft/files/j56n2","Stage 1 not formally registered"
"UP2TRAT3","new",2025,"Nature Human Behaviour","Fassi, Luisa; Ferguson, Amanda M.; Przybylski, Andrew K.; Ford, Tamsin J.; Orben, Amy","Social media use in adolescents with and without mental health conditions","10.1038/s41562-025-02134-4","https://figshare.com/s/730e3b0d4da82e9b6a46?file=43804872",""
"1124","liu",2022,"Cognitive Research: Principles And Implications","Lubczyk, Till; Lukács, Gáspár; Ansorge, Ulrich","Speed versus accuracy instructions in the response time concealed information test","10.1186/s41235-021-00352-8","https://osf.io/c9e5b/overview","found link in registry"
