id,year,author,doi,title,journal,rater,include_final,no_reason,confirmed,type,prereg_link,notes
1061,2021,"Havron, Naomi; Babineau, Mireille; Christophe, Anne",10.1111/desc.13030,18-month-olds fail to use recent experience to infer the syntactic category of novel words,Developmental Science,moin,yes,,yes,rr,https://osf.io/ujesx/files/rde4z,not formally registered
1166,2019,"Tipples, Jason; Pecchinenda, Anna",10.1080/02699931.2018.1468732,A closer look at the size of the gaze-liking effect: a preregistered replication,Cognition and Emotion,moin,no,replication,yes,replication,https://osf.io/n8e65/files/krcze,not formally registered
1113,2021,"Graham, Eileen K.; James, Bryan D.; Jackson, Kathryn L.; Willroth, Emily C.; Luo, Jing; Beam, Christopher R.; Pedersen, Nancy L.; Reynolds, Chandra A.; Katz, Mindy; Lipton, Richard B.; Boyle, Patricia; Wilson, Robert; Bennett, David A.; Mroczek, Daniel K.",10.1016/j.jrp.2021.104100,"A coordinated analysis of the associations among personality traits, cognitive decline, and dementia in older adulthood",Journal of Research in Personality,moin,yes,,yes,rr,https://osf.io/32wgf/registrations,
1014,2022,"Baldwin, Jessie R.; Sallis, Hannah M.; Schoeler, Tabea; Taylor, Mark J.; Kwong, Alex S. F.; Tielbeek, Jorim J.; Barkhuizen, Wikus; Warrier, Varun; Howe, Laura D.; Danese, Andrea; McCrory, Eamon; Rijsdijk, Fruhling; Larsson, Henrik; Lundström, Sebastian; Karlsson, Robert; Lichtenstein, Paul; Munafò, Marcus; Pingault, Jean-Baptiste",10.1038/s41562-022-01482-9,A genetically informed Registered Report on adverse childhood experiences and mental health,Nature Human Behaviour,moin,yes,,yes,rr,https://doi.org/10.6084/m9.figshare.13580777,
1136,2022,"Ekstrom, Pierce; Lai, Calvin",10.1525/collabra.36344,"A Good Person Shouldn’t Feel This Way: Moralized Attitudes, Identity, and Self-Esteem",Collabra,moin,yes,,yes,rr,https://osf.io/zry5b/overview,
1010,2021,"Wang, Ke; Goldenberg, Amit; Dorison, Charles A.; Miller, Jeremy K.; Uusberg, Andero; Lerner, Jennifer S.; Gross, James J.; Agesin, Bamikole Bamikole; Bernardo, Márcia; Campos, Olatz; Eudave, Luis; Grzech, Karolina; Ozery, Daphna Hausman; Jackson, Emily A.; Garcia, Elkin Oswaldo Luis; Drexler, Shira Meir; Jurković, Anita Penić; Rana, Kafeel; Wilson, John Paul; Antoniadi, Maria; Desai, Kermeka; Gialitaki, Zoi; Kushnir, Elizaveta; Nadif, Khaoula; Bravo, Olalla Niño; Nauman, Rafia; Oosterlinck, Marlies; Pantazi, Myrto; Pilecka, Natalia; Szabelska, Anna; Van Steenkiste, I. M. M.; Filip, Katarzyna; Bozdoc, Andreea Ioana; Marcu, Gabriela Mariana; Agadullina, Elena; Adamkovič, Matúš; Roczniewska, Marta; Reyna, Cecilia; Kassianos, Angelos P.; Westerlund, Minja; Ahlgren, Lina; Pöntinen, Sara; Adetula, Gabriel Agboola; Dursun, Pinar; Arinze, Azuka Ikechukwu; Arinze, Nwadiogo Chisom; Ogbonnaya, Chisom Esther; Ndukaihe, Izuchukwu L. G.; Dalgar, Ilker; Akkas, Handan; Macapagal, Paulo Manuel; Lewis, Savannah; Metin-Orta, Irem; Foroni, Francesco; Willis, Megan; Santos, Anabela Caetano; Mokady, Aviv; Reggev, Niv; Kurfali, Merve A.; Vasilev, Martin R.; Nock, Nora L.; Parzuchowski, Michal; Espinoza Barría, Mauricio F.; Vranka, Marek; Kohlová, Markéta Braun; Ropovik, Ivan; Harutyunyan, Mikayel; Wang, Chunhui; Yao, Elvin; Becker, Maja; Manunta, Efisio; Kaminski, Gwenael; Boudesseu, Jordane; Marko, Dafne; Evans, Kortnee; Lewis, David M. G.; Findor, Andrej; Landry, Anais Thibault; Aruta, John Jamir Benzon; Ortiz, Manuel S.; Vally, Zahir; Pronizius, Ekaterina; Voracek, Martin; Lamm, Claus; Grinberg, Maurice; Li, Ranran; Valentova, Jaroslava Varella; Mioni, Giovanna; Cellini, Nicola; Chen, Sau-Chin; Zickfeld, Janis; Moon, Karis; Azab, Habiba; Levy, Neil; Karababa, Alper; Beaudry, Jennifer L.; Boucher, Leanne; Collins, W. Matthew; Todsen, Anna Louise; Van Schie, Kevin; Vintr, Jáchym; Bavolar, Jozef; Kaliska, Lada; Križanić, Valerija; Samojlenko, Lara; Pourafshari, Razieh; Geiger, Sandra J.; Beitner, Julia; Warmelink, Lara; Ross, Robert M.; Stephen, Ian D.; Hostler, Thomas J.; Azouaghe, Soufian; McCarthy, Randy; Szala, Anna; Grano, Caterina; Solorzano, Claudio Singh; Anjum, Gulnaz; Jimenez-Leal, William; Bradford, Maria; Pérez, Laura Calderón; Cruz Vásquez, Julio E.; Galindo-Caballero, Oscar J.; Vargas-Nieto, Juan Camilo; Kácha, Ondřej; Arvanitis, Alexios; Xiao, Qinyu; Cárcamo, Rodrigo; Zorjan, Saša; Tajchman, Zuzanna; Vilares, Iris; Pavlacic, Jeffrey M.; Kunst, Jonas R.; Tamnes, Christian K.; Von Bastian, Claudia C.; Atari, Mohammad; Sharifian, MohammadHasan; Hricova, Monika; Kačmár, Pavol; Schrötter, Jana; Rahal, Rima-Maria; Cohen, Noga; FatahModares, Saeideh; Zrimsek, Miha; Zakharov, Ilya; Koehn, Monica A.; Esteban-Serna, Celia; Calin-Jageman, Robert J.; Krafnick, Anthony J.; Štrukelj, Eva; Isager, Peder Mortvedt; Urban, Jan; Silva, Jaime R.; Martončik, Marcel; Očovaj, Sanja Batić; Šakan, Dušana; Kuzminska, Anna O.; Djordjevic, Jasna Milosevic; Almeida, Inês A. T.; Ferreira, Ana; Lazarevic, Ljiljana B.; Manley, Harry; Ricaurte, Danilo Zambrano; Monteiro, Renan P.; Etabari, Zahra; Musser, Erica; Dunleavy, Daniel; Chou, Weilun; Godbersen, Hendrik; Ruiz-Fernández, Susana; Reeck, Crystal; Batres, Carlota; Kirgizova, Komila; Muminov, Abdumalik; Azevedo, Flavio; Alvarez, Daniela Serrato; Butt, Muhammad Mussaffa; Lee, Jeong Min; Chen, Zhang; Verbruggen, Frederick; Ziano, Ignazio; Tümer, Murat; Charyate, Abdelilah C. A.; Dubrov, Dmitrii; Tejada Rivera, María Del Carmen M. C.; Aberson, Christopher; Pálfi, Bence; Maldonado, Mónica Alarcón; Hubena, Barbora; Sacakli, Asli; Ceary, Chris D.; Richard, Karley L.; Singer, Gage; Perillo, Jennifer T.; Ballantyne, Tonia; Cyrus-Lai, Wilson; Fedotov, Maksim; Du, Hongfei; Wielgus, Magdalena; Pit, Ilse L.; Hruška, Matej; Sousa, Daniela; Aczel, Balazs; Hajdu, Nandor; Szaszi, Barnabas; Adamus, Sylwia; Barzykowski, Krystian; Micheli, Leticia; Schmidt, Nadya-Daniela; Zsido, Andras N.; Paruzel-Czachura, Mariola; Muda, Rafał; Bialek, Michal; Kowal, Marta; Sorokowska, Agnieszka; Misiak, Michal; Mola, Débora; Ortiz, María Victoria; Correa, Pablo Sebastián; Belaus, Anabel; Muchembled, Fany; Ribeiro, Rafael R.; Arriaga, Patricia; Oliveira, Raquel; Vaughn, Leigh Ann; Szwed, Paulina; Kossowska, Małgorzata; Czarnek, Gabriela; Kielińska, Julita; Antazo, Benedict; Betlehem, Ruben; Stieger, Stefan; Nilsonne, Gustav; Simonovic, Nicolle; Taber, Jennifer; Gourdon-Kanhukamwe, Amélie; Domurat, Artur; Ihaya, Keiko; Yamada, Yuki; Urooj, Anum; Gill, Tripat; Čadek, Martin; Bylinina, Lisa; Messerschmidt, Johanna; Kurfalı, Murathan; Adetula, Adeyemi; Baklanova, Ekaterina; Albayrak-Aydemir, Nihan; Kappes, Heather B.; Gjoneska, Biljana; House, Thea; Jones, Marc V.; Berkessel, Jana B.; Chopik, William J.; Çoksan, Sami; Seehuus, Martin; Khaoudi, Ahmed; Bokkour, Ahmed; El Arabi, Kanza Ait; Djamai, Ikhlas; Iyer, Aishwarya; Parashar, Neha; Adiguzel, Arca; Kocalar, Halil Emre; Bundt, Carsten; Norton, James O.; Papadatou-Pastou, Marietta; De La Rosa-Gomez, Anabel; Ankushev, Vladislav; Bogatyreva, Natalia; Grigoryev, Dmitry; Ivanov, Aleksandr; Prusova, Irina; Romanova, Marina; Sarieva, Irena; Terskova, Maria; Hristova, Evgeniya; Kadreva, Veselina Hristova; Janak, Allison; Schei, Vidar; Sverdrup, Therese E.; Askelund, Adrian Dahl; Pineda, Lina Maria Sanabria; Krupić, Dajana; Levitan, Carmel A.; Johannes, Niklas; Ouherrou, Nihal; Say, Nicolas; Sinkolova, Sladjana; Janjić, Kristina; Stojanovska, Marija; Stojanovska, Dragana; Khosla, Meetu; Thomas, Andrew G.; Kung, Franki Y. H.; Bijlstra, Gijsbert; Mosannenzadeh, Farnaz; Balci, Busra Bahar; Reips, Ulf-Dietrich; Baskin, Ernest; Ishkhanyan, Byurakn; Czamanski-Cohen, Johanna; Dixson, Barnaby James Wyld; Moreau, David; Sutherland, Clare A. M.; Chuan-Peng, Hu; Noone, Chris; Flowe, Heather; Anne, Michele; Janssen, Steve M. J.; Topor, Marta; Majeed, Nadyanna M.; Kunisato, Yoshihiko; Yu, Karen; Daches, Shimrit; Hartanto, Andree; Vdovic, Milica; Anton-Boicuk, Lisa; Forbes, Paul A. G.; Kamburidis, Julia; Marinova, Evelina; Nedelcheva-Datsova, Mina; Rachev, Nikolay R.; Stoyanova, Alina; Schmidt, Kathleen; Suchow, Jordan W.; Koptjevskaja-Tamm, Maria; Jernsäther, Teodor; Olofsson, Jonas K.; Bialobrzeska, Olga; Marszalek, Magdalena; Tatachari, Srinivasan; Afhami, Reza; Law, Wilbert; Antfolk, Jan; Žuro, Barbara; Van Doren, Natalia; Soto, Jose A.; Searston, Rachel; Miranda, Jacob; Damnjanović, Kaja; Yeung, Siu Kit; Krupić, Dino; Hoyer, Karlijn; Jaeger, Bastian; Ren, Dongning; Pfuhl, Gerit; Klevjer, Kristoffer; Corral-Frías, Nadia S.; Frias-Armenta, Martha; Lucas, Marc Y.; Torres, Adriana Olaya; Toro, Mónica; Delgado, Lady Grey Javela; Vega, Diego; Solas, Sara Álvarez; Vilar, Roosevelt; Massoni, Sébastien; Frizzo, Thomas; Bran, Alexandre; Vaidis, David C.; Vieira, Luc; Paris, Bastien; Capizzi, Mariagrazia; Coelho, Gabriel Lins De Holanda; Greenburgh, Anna; Whitt, Cassie M.; Tullett, Alexa M.; Du, Xinkai; Volz, Leonhard; Bosma, Minke Jasmijn; Karaarslan, Cemre; Sarıoğuz, Eylül; Allred, Tara Bulut; Korbmacher, Max; Colloff, Melissa F.; Lima, Tiago J. S.; Ribeiro, Matheus Fernando Felix; Verharen, Jeroen P. H.; Karekla, Maria; Karashiali, Christiana; Sunami, Naoyuki; Jaremka, Lisa M.; Storage, Daniel; Habib, Sumaiya; Studzinska, Anna; Hanel, Paul H. P.; Holford, Dawn Liu; Sirota, Miroslav; Wolfe, Kelly; Chiu, Faith; Theodoropoulou, Andriana; Ahn, El Rim; Lin, Yijun; Westgate, Erin C.; Brohmer, Hilmar; Hofer, Gabriela; Dujols, Olivier; Vezirian, Kevin; Feldman, Gilad; Travaglino, Giovanni A.; Ahmed, Afroja; Li, Manyu; Bosch, Jasmijn; Torunsky, Nathan; Bai, Hui; Manavalan, Mathi; Song, Xin; Walczak, Radoslaw B.; Zdybek, Przemysław; Friedemann, Maja; Rosa, Anna Dalla; Kozma, Luca; Alves, Sara G.; Lins, Samuel; Pinto, Isabel R.; Correia, Rita C.; Babinčák, Peter; Banik, Gabriel; Rojas-Berscia, Luis Miguel; Varella, Marco A. C.; Uttley, Jim; Beshears, Julie E.; Thommesen, Katrine Krabbe; Behzadnia, Behzad; Geniole, Shawn N.; Silan, Miguel A.; Maturan, Princess Lovella G.; Vilsmeier, Johannes K.; Tran, Ulrich S.; Izquierdo, Sara Morales; Mensink, Michael C.; Sorokowski, Piotr; Groyecka-Bernard, Agata; Radtke, Theda; Adoric, Vera Cubela; Carpentier, Joelle; Özdoğru, Asil Ali; Joy-Gaba, Jennifer A.; Hedgebeth, Mattie V.; Ishii, Tatsunori; Wichman, Aaron L.; Röer, Jan Philipp; Ostermann, Thomas; Davis, William E.; Suter, Lilian; Papachristopoulos, Konstantinos; Zabel, Chelsea; Onie, Sandersan; Ebersole, Charles R.; Chartier, Christopher R.; Mallik, Peter R.; Urry, Heather L.; Buchanan, Erin M.; Coles, Nicholas A.; Primbs, Maximilian A.; Basnight-Brown, Dana M.; IJzerman, Hans; Forscher, Patrick S.; Moshontz, Hannah",10.1038/s41562-021-01173-x,A multi-country test of brief reappraisal interventions on emotions during the COVID-19 pandemic,Nature Human Behaviour,moin,yes,,yes,rr,https://doi.org/10.6084/m9.figshare.c.4878591,
1013,2022,"Coles, Nicholas A.; March, David S.; Marmolejo-Ramos, Fernando; Larsen, Jeff T.; Arinze, Nwadiogo C.; Ndukaihe, Izuchukwu L. G.; Willis, Megan L.; Foroni, Francesco; Reggev, Niv; Mokady, Aviv; Forscher, Patrick S.; Hunter, John F.; Kaminski, Gwenaël; Yüvrük, Elif; Kapucu, Aycan; Nagy, Tamás; Hajdu, Nandor; Tejada, Julian; Freitag, Raquel M. K.; Zambrano, Danilo; Som, Bidisha; Aczel, Balazs; Barzykowski, Krystian; Adamus, Sylwia; Filip, Katarzyna; Yamada, Yuki; Ikeda, Ayumi; Eaves, Daniel L.; Levitan, Carmel A.; Leiweke, Sydney; Parzuchowski, Michal; Butcher, Natalie; Pfuhl, Gerit; Basnight-Brown, Dana M.; Hinojosa, José A.; Montoro, Pedro R.; Javela D, Lady G.; Vezirian, Kevin; IJzerman, Hans; Trujillo, Natalia; Pressman, Sarah D.; Gygax, Pascal M.; Özdoğru, Asil A.; Ruiz-Fernandez, Susana; Ellsworth, Phoebe C.; Gaertner, Lowell; Strack, Fritz; Marozzi, Marco; Liuzza, Marco Tullio",10.1038/s41562-022-01458-9,A multi-lab test of the facial feedback hypothesis by the Many Smiles Collaboration,Nature Human Behaviour,moin,no,no stage 1,no,not_rr_after_all,NA,"manuscript refers to Stage 1, but could not find it anywhere, only preregs"
1144,2021,"McCarthy, Randy; Gervais, Will; Aczel, Balazs; Al-Kire, Rosemary L.; Aveyard, Mark; Marcella Baraldo, Silvia; Baruh, Lemi; Basch, Charlotte; Baumert, Anna; Behler, Anna; Bettencourt, Ann; Bitar, Adam; Bouxom, Hugo; Buck, Ashley; Cemalcilar, Zeynep; Chekroun, Peggy; Chen, Jacqueline M.; del Fresno- Díaz, Ángel; Ducham, Alec; Edlund, John E.; ElBassiouny, Amanda; Evans, Thomas Rhys; Ewell, Patrick J.; Forscher, Patrick S.; Fuglestad, Paul T.; Hauck, Lauren; Hawk, Christopher E.; Hermann, Anthony D.; Hines, Bryon; Irumva, Mukunzi; Jordan, Lauren N.; Joy-Gaba, Jennifer A.; Haley, Catherine; Kačmár, Pavol; Kezer, Murat; Körner, Robert; Kosaka, Muriel; Kovacs, Marton; Lair, Elicia C.; Légal, Jean-Baptiste; Leighton, Dana C.; Magee, Michael W.; Markman, Keith; Martončik, Marcel; Müller, Martin; Norman, Jasmine B.; Olsen, Jerome; Oyler, Danielle; Phills, Curtis E.; Ribeiro, Gianni; Rohain, Alia; Sakaluk, John; Schütz, Astrid; Toribio-Flórez, Daniel; Tsang, Jo-Ann; Vezzoli, Michela; Williams, Caitlin; Willis, Guillermo B.; Young, Jason; Zogmaister, Cristina",10.1525/collabra.18738,A Multi-Site Collaborative Study of the Hostile Priming Effect,Collabra,moin,no,replication,yes,replication,https://osf.io/preprints/psyarxiv/gxp7u_v1,not formally registered
1015,2021,"Byers-Heinlein, Krista; Tsui, Angeline Sin Mei; Bergmann, Christina; Black, Alexis K.; Brown, Anna; Carbajal, Maria Julia; Durrant, Samantha; Fennell, Christopher T.; Fiévet, Anne-Caroline; Frank, Michael C.; Gampe, Anja; Gervain, Judit; Gonzalez-Gomez, Nayeli; Hamlin, J. Kiley; Havron, Naomi; Hernik, Mikołaj; Kerr, Shila; Killam, Hilary; Klassen, Kelsey; Kosie, Jessica E.; Kovács, Ágnes Melinda; Lew-Williams, Casey; Liu, Liquan; Mani, Nivedita; Marino, Caterina; Mastroberardino, Meghan; Mateu, Victoria; Noble, Claire; Orena, Adriel John; Polka, Linda; Potter, Christine E.; Schreiner, Melanie S.; Singh, Leher; Soderstrom, Melanie; Sundara, Megha; Waddell, Connor; Werker, Janet F.; Wermelinger, Stephanie",10.1177/2515245920974622,A Multilab Study of Bilingual Infants: Exploring the Preference for Infant-Directed Speech,Advances in Methods and Practices in Psychological Science,moin,yes,,yes,rr,https://osf.io/68nu3/files/3p5wn,not formally registered
1006,2021,"Eldar, Eran; Felso, Valkyrie; Cohen, Jonathan D.; Niv, Yael",10.1038/s41562-020-01006-3,A pupillary index of susceptibility to decision biases,Nature Human Behaviour,moin,yes,,yes,rr,https://doi.org/10.6084/m9.figshare.c.4368452,
