"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TZJBD7GB","journalArticle","2025","Moore, Margaret Jane; Demeyere, Nele","Registered reports in neuropsychology: Insights from the burning houses study","CORTEX","","0010-9452","10.1016/j.cortex.2025.07.002","","We recently completed our first registered report project within a neuropsychological population (Moore et al., 2025). In this project, we set out to evaluate the replicability of the seminal case study by Marshall & Halligan (1988) on pre-attentive semantic processing in neglect, and replicated this effect under stringent experimental conditions. Our undertaking of this registered report study spanned over five years. In this viewpoint, we aim to share our personal reflections on this project in the hope that our experiences (and setbacks) can prove helpful for future studies aiming to conduct registered reports in neuropsychological populations. More broadly, our experience with this project provides a salient example of the challenges faced by registered report studies which may help account for the low uptake of this format in neuropsychology. Ultimately, we believe that encouraging adherence to fundamental open science practices including openly pre-registering plans and open reporting of data/code should be prioritised in neuropsychology and call for targeted discussions surrounding registered report formats specific to neuropsychological studies. (c) 2025 Published by Elsevier Ltd.","2025-09","2026-03-24 19:34:00","2026-03-24 19:34:00","","155-159","","","190","","","","","","","","","","English","","","","","","","Place: 65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, 92442 PARIS, FRANCE Publisher: ELSEVIER MASSON, CORP OFF Type: Article","","","","Neuropsychology; Registered reports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2JDQ5S8","journalArticle","2025","Lin, Chujun; Keles, Umit; Thornton, Mark A.; Adolphs, Ralph","How trait impressions of faces shape subsequent mental state inferences","NATURE HUMAN BEHAVIOUR","","2397-3374","10.1038/s41562-024-02059-4","","People form impressions of one another in a split second from faces. However, people also infer others' momentary mental states on the basis of context-for example, one might infer that somebody feels encouraged from the fact that they are receiving constructive feedback. How do trait judgements of faces influence these context-based mental state inferences? In this Registered Report, we asked participants to infer the mental states of unfamiliar people, identified by their neutral faces, under specific contexts. To increase generalizability, we representatively sampled all stimuli from inclusive sets using computational methods. We tested four hypotheses: that trait impressions of faces (1) are correlated with subsequent mental state inferences in a range of contexts, (2) alter the dimensional space that underlies mental state inferences, (3) are associated with specific mental state dimensions in this space and (4) causally influence mental state inferences. We found evidence in support of all hypotheses. In this Stage 2 Registered Report, Lin et al. show that trait impressions of faces are correlated with and causally influence mental state inferences from the same faces.","2025-01","2026-03-24 19:34:01","2026-03-24 19:34:01","","208-226","","1","9","","","","","","","","","","English","","","","","","","Place: HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY Publisher: NATURE PORTFOLIO Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X66P8AX9","journalArticle","2025","Clayson, Peter E.; Carbine, Kaylie A.; Shuford, John L.; Mcdonald, Julia B.; Larson, Michael J.","A registered report of preregistration practices in studies of electroencephalogram (EEG) and event-related potentials (ERPs): A first look at accessibility, adherence, transparency, and selection bias","CORTEX","","0010-9452","10.1016/j.cortex.2025.02.008","","Common explanations for replication failures in neuroscience and psychophysiology include the exploitation of researcher degrees of freedom and ambiguous or inappropriate methodology, creating an environment in which flexibility during data processing and analysis could increase the probability of erroneous or irreplicable findings. The present registered report described preregistration practices in EEG/ERP studies, quantified adherence to preregistration, and estimated expected replication/discovery rates. Out of 506 preregistrations and 25 registered reports screened, 385 met eligibility. The EEG/ERP preregistrations resulted in 92 published manuscripts. For the preregistered studies, 57-99% included the minimal necessary methodological detail for replication. Adherence to preregistration in the 92 published studies averaged 60%. Exploratory analyses indicated that registered reports had the highest average adherence (92%), followed by articles explicitly mentioning preregistration (60%), and then by those not mentioning preregistration (39%). Only 16% of published studies fully adhered to preregistered plans or disclosed all deviations. Preregistered studies reported more methodological details (64% vs. 61%) and more frequently justified sample sizes and data exclusion than companion non- preregistered studies. A z-curve analysis indicated that selective reporting was likely present in published preregistered studies. Although preregistration can enhance transparency and reduce researcher bias in EEG/ERP research, current practices fall short. Ambiguity in preregistrations and inconsistent adherence undermine utility of preregistration. Moving forward, researchers should prioritize clarity and accessibility in preregistrations, and journals should implement policies to ensure the review of preregistration adherence. (c) 2025 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","2025-04","2026-03-24 19:34:01","2026-03-24 19:34:01","","253-269","","","185","","","","","","","","","","English","","","","","","","Place: 65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, 92442 PARIS, FRANCE Publisher: ELSEVIER MASSON, CORP OFF Type: Article","","","","Electroencephalography (EEG); Event-related brain potentials (ERPs); Garden of forking paths; Open science; Reproducibility and replicability; Selective reporting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PGJJ57N","journalArticle","2026","Tenney, Elizabeth R.; Rochford, Kylie; Stillwell, Amelia; Liu, Coco Xinyue; Tannenbaum, David; Hennecke, Marie; Stefanucci, Jeanine K.; Blair, B. Ariel; Graham, Jesse; Bonner, Bryan L.","Registered Report: A Replication Examining Occupational Experience and Performance on the Water-Level Task","PSYCHOLOGICAL SCIENCE","","0956-7976","10.1177/09567976251412721","","This is a registered report to directly replicate the primary finding in Hecht and Proffitt (1995). Hecht and Proffitt found that those with occupational experience handling liquid in containers performed worse at solving a water-level problem than those in occupations that did not require handling liquids. Shortly after, Vasta et al. (1997) found the opposite: Experience was associated with superior performance on the task. The conflicting findings and the small sample sizes in each study leave the relationship between experience and water-level-task performance uncertain. We addressed these concerns with a high-powered direct replication of Hecht and Proffitt with adults in Germany (N = 407). We failed to replicate Hecht and Proffitt's results, finding that their study had less than 33% power to detect the small, nonsignificant difference that we observed between groups.","2026-02","2026-03-24 19:34:01","2026-03-24 19:34:01","","125-135","","2","37","","","","","","","","","","English","","","","","","","Place: 2455 ℡LER RD, THOUSAND OAKS, CA 91320 USA Publisher: SAGE PUBLICATIONS INC Type: Article","","","","cognitive psychology; expertise; intuitive physics; occupational experience; perception; registered report; replication; water-level task","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QV98UHS","journalArticle","2025","Watanabe, Ryoichi; Tsuchiya, Naotsugu; Qianchen, Liang; Myowa, Masako; Moriguchi, Yusuke","How much can children see and report about their experience of a brief glance at a natural scene?","NEUROSCIENCE OF CONSCIOUSNESS","","","10.1093/nc/niaf019","","Recent studies on brief scene perception have revealed that adults discriminate between what they see and do not see in a photograph with varying degrees of confidence. In this study, we attempt to extend previous studies by asking if these perceptual/cognitive abilities are already established in preschool and school-aged children. In Experiment 1 (n = 122) and 2 (n = 205, registered report), using an online experiment, we briefly presented a natural scene (267 ms in Experiment 1 and 133 ms in Experiment 2) to participants and, subsequently, asked them if a small patch was included in the original scene. Experiment 2 was a registered report. We tested various patch locations to probe “how much” the participants can see and report about it with graded levels of confidence. In Experiment 1, discriminative performance was nearly saturated (the area under the receiver operating characteristic curve (AUC)) = 0.9 across age groups) with no effects of ages, but metacognition slightly improved across ages (AUC = 0.74 in 5-6-year-olds to 0.79 in adults). In a critical registered report (Experiment 2), with reduced stimulus duration, we found a developmental effect (AUC = 0.73 in 5-6-year-olds to 0.91 in adults), and, again, metacognitive accuracy was constant across development (AUC = 0.73 in 5-6-year-olds to 0.75 in adults). Additionally, our analysis of semantic congruence between objects and scenes revealed age-related differences in performance. Contrary to our expectation, the size of the image modification strongly affected task performance, uniformly across ages. Overall, we conclude that 5-6-year-olds' perceptual and metacognitive abilities are much better than we expected when they were tested with briefly presented natural scenes, although their performances were generally lower than adults.Highlights Metacognition in brief natural scene perception has been considered poorly developed in children. We seek to identify how perceptual discriminative and metacognitive performance develop. Our registered report experiments demonstrate that children's perceptual and metacognitive abilities are much better than previously believed. We found that no pairs of original-modified images in which age or semantics of modification mattered but found that the size of modifications matters across ages.","2025","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","1","2025","","","","","","","","","","English","","","","","","","Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article","","","","children; cognitive development; massive report paradigm; metacognition; natural scene perception; visual experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RB5CNKVK","journalArticle","2024","Blume, Christine; Cajochen, Christian; Schoellhorn, Isabel; Slawik, Helen C.; Spitschan, Manuel","Effects of calibrated blue-yellow changes in light on the human circadian clock","NATURE HUMAN BEHAVIOUR","","2397-3374","10.1038/s41562-023-01791-7","","Evening exposure to short-wavelength light can affect the circadian clock, sleep and alertness. Intrinsically photosensitive retinal ganglion cells expressing melanopsin are thought to be the primary drivers of these effects. Whether colour-sensitive cones also contribute is unclear. Here, using calibrated silent-substitution changes in light colour along the blue-yellow axis, we investigated whether mechanisms of colour vision affect the human circadian system and sleep. In a 32.5-h repeated within-subjects protocol, 16 healthy participants were exposed to three different light scenarios for 1 h starting 30 min after habitual bedtime: baseline control condition (93.5 photopic lux), intermittently flickering (1 Hz, 30 s on-off) yellow-bright light (123.5 photopic lux) and intermittently flickering blue-dim light (67.0 photopic lux), all calibrated to have equal melanopsin excitation. We did not find conclusive evidence for differences between the three lighting conditions regarding circadian melatonin phase delays, melatonin suppression, subjective sleepiness, psychomotor vigilance or sleep.The Stage 1 protocol for this Registered Report was accepted in principle on 9 September 2020. The protocol, as accepted by the journal, can be found at https://doi.org/10.6084/m9.figshare.13050215.v1. In this Stage 2 Registered Report, Blume et al. report results of a study on the contribution of colour vision mechanisms to circadian modulation by light.","2024-03","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","3","8","","","","","","","","","","English","","","","","","","Place: HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY Publisher: NATURE PORTFOLIO Type: Article","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQQQDQ25","journalArticle","2025","McCarthy, Kathryn S.; Hinze, Scott R.","Stage 2 Registered Report-You've Got Some Explaining to Do: Effects of Explanation Prompts on Science Text Comprehension","APPLIED COGNITIVE PSYCHOLOGY","","0888-4080","10.1002/acp.70093","","The use of active comprehension strategies that encourage students to explain what they have read can improve students' comprehension of complex scientific texts. Most research has focused on either strategies that are engaged during reading (online) or those used after reading (offline)-often ignoring potential interactions that might occur in authentic learning. This study used a 2 (online: think-aloud, self-explain) x 3 (offline: reread, free recall, explanatory retrieval) design with a 7-day delayed comprehension test to examine how explanatory prompts might affect comprehension. Analyses from this Stage 2 Registered Report revealed a main effect of online condition, but no main effect offline condition. This was qualified by an interaction such that retrieval of any kind supported the comprehension benefits of self-explanation. These findings highlight the importance of considering how comprehension strategies interact and the conditions under which they are most effective.","2025-07-28","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","4","39","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","retrieval practice; self-explanation; text comprehension","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QKT849H","journalArticle","2025","Hasan, Eeshan; Liu, Yanjun; Owens, Nicole; Trueblood, Jennifer S.","A registered report on presentation factors that influence the attraction effect","JUDGMENT AND DECISION MAKING","","1930-2975","10.1017/jdm.2024.27","","Context effects occur when the preference between two alternatives is affected by the presence of an extra alternative. These effects are some of the most well studied phenomena in multi-alternative, multi-attribute decision making. Recent research in this area has revealed an intriguing pattern of results. On the one hand, these effects are robust and ubiquitous. That is, they have been demonstrated in many domains and different choice settings. On the other hand, they are fragile and they disappear or even reverse under different conditions. This pattern of results has spurred debate and speculation about the cognitive mechanisms that drive these choices. The attraction effect, where the preference for an option increases in the presence of a dominated decoy, has generated the most controversy. In this registered report, we systematically vary factors that are known to be associated with the attraction effect to build a solid foundation of empirical results to aid future theory development. We find a robust attraction effect across the different conditions. The strength of this effect is modulated by the display order (e.g., decoy top, target middle, competitor bottom) and mode (numeric vs. graphical) but not display layout (by-attribute vs. by-alternative).","2025-01-17","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","","20","","","","","","","","","","English","","","","","","","Place: EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND Publisher: CAMBRIDGE UNIV PRESS Type: Article","","","","attraction effect; by-alternative by-attribute; context effects; presentation format","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTFKM8JD","journalArticle","2026","Franco-Martinez, Alicia; Rey-Saez, Ricardo; Adrian-Ventura, Jesus; Amerio, Pietro; Baciero, Ana; Bennis, Amine; Bergstrom, Fredrik; Cleeremans, Axel; Contu, Laura; Dell'Acqua, Roberto; Deng, Xinping; Dolu, Fatma Nur; Gambarota, Filippo; Gao, Yi; Garre-Frutos, Francisco; Grubert, Anna; Hernando, Ana; Hinojosa, Jose A.; Hoory, Asaf; Hou, Zhikun; Hung, Shao-Min; Ito, Aine; Jimenez, Mikel; Kosachenko, Alexandra, I; Kulaksiz, Merve; Lee, Daryl Y. H.; Malas, Elmas Merve; Malejka, Simone; Montoro, Pedro R.; Mudrik, Liad; Pavlov, Yuri G.; Pesimena, Gabriele; Prieto, Antonio; Rahnev, Dobromir; Ringenberg, Lais; Sandoval-Lentisco, Alejandro; Sarodo, Akira; Schreiber, Maor; Sessa, Paola; Solana, Pablo; Tarasov, Dmitrii A.; Tortajada, Miriam; Xue, Kai; Xue, Ziqian; Zheng, Yunxuan; Cinici, Merve; Shanks, David R.; Soto, David; Vadillo, Miguel A.","Replicating the unconscious working memory effect: a multisite Registered Report","NEUROSCIENCE OF CONSCIOUSNESS","","","10.1093/nc/niaf046","","Although in recent years some studies have found evidence suggesting that working memory (WM) may operate on unconscious perceptual contents, decisive demonstrations of the existence of unconscious WM are lacking. In the present Registered Report, we replicate the first study on this topic by Soto et al. (Working memory without consciousness. Curr Biol 2011;21:R912-3.): a visual discrimination task asking participants to report the direction in which a subliminal Gabor grating was rotated after a 2-s delay. We acquired a multisite sample from 19 laboratories, with a larger number of participants (N = 531) and trials (720 in two sessions) than those typically used in previous studies. As a result, a large-sample, international, and open-access dataset is now available for researchers and future analyses. Furthermore, some minimal baseline requirements were guaranteed for the experimental task (i.e. number of valid trials, motivation, and consistent labels for the Perceptual Awareness Scale). The results showed (1) above-chance WM performance in cue-present trials reported as unseen (.55 accuracy), (2) a significant positive correlation between WM performance and cue detection sensitivity (r = .228), and (3) a significant above-chance intercept in the regression of performance on sensitivity (beta 0 = .521). These findings suggest that WM can operate on unconscious representations, although it remains positively associated with perceptual sensitivity. Crucially, because measurement error could compromise the interpretation of these three results, we provide evidence for our measures' excellent reliability and, more fundamentally, for their validity.","2026","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","1","2026","","","","","","","","","","English","","","","","","","Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article","","","","multisite; perceptual awareness; Registered Report; replication; unconscious; working memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"832SRD2F","journalArticle","2025","Neville, Claire M.; Williams, Matt N.","Does Truth Pay? Investigating the Effectiveness of the Bayesian Truth Serum With an Interim Payment: A Registered Report","ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE","","2515-2459","10.1177/25152459251343043","","Self-report data are vital in psychological research, but biases such as careless responding and socially desirable responding can compromise their validity. Although various methods are employed to mitigate these biases, they have limitations. The Bayesian truth serum (BTS) offers a survey scoring method to incentivize truthfulness by leveraging correlations between personal and collective opinions and rewarding “surprisingly common” responses. In this study, we evaluated the effectiveness of the BTS in mitigating socially desirable responding to sensitive questions and tested whether an interim payment could enhance its efficacy by increasing trust. In a between-subjects experimental survey, 877 participants were randomly assigned to one of three conditions: BTS, BTS with interim payment, and regular incentive (RI). Contrary to the hypotheses, participants in the BTS conditions displayed lower agreement with socially undesirable statements compared with the RI condition. The interim payment did not significantly enhance the BTS's effectiveness. Instead, response patterns diverged from the mechanism's intended effects, raising concerns about its robustness. As the second registered report to challenge its efficacy, this study's results cast serious doubt on the BTS as a reliable tool for mitigating socially desirable responding and improving the validity of self-report data in psychological research.","2025-07","2026-03-24 19:34:01","2026-03-24 19:34:01","","","","3","8","","","","","","","","","","English","","","","","","","Place: 2455 ℡LER RD, THOUSAND OAKS, CA 91320 USA Publisher: SAGE PUBLICATIONS INC Type: Article","","","","Bayesian truth serum; BTS; data integrity; incentivizing truthfulness; open data; open materials; preregistration; response biases; SDR; self-report data; sensitive questions; socially desirable responding; survey methodology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
