"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4WRZ9F3U","journalArticle","2022","Luna, Karlos; Albuquerque, Pedro B.","Do Beliefs About Font Size Affect Retrospective Metamemory Judgments                     in Addition to Prospective Judgments?","Experimental Psychology","","1618-3169","10.1027/1618-3169/a000549","https://econtent.hogrefe.com/doi/abs/10.1027/1618-3169/a000549",". Beliefs about how memory works explain several effects on                     prospective metamemory judgments (e.g., the effect of font size on judgments of                     learning; JOLs). Less is known about the effect of beliefs on retrospective                     judgments (i.e., confidence). Here, we tested whether font size also affects                     confidence ratings and whether beliefs play a similar role in confidence than in                     JOLs. In two experiments, participants studied words in small and large size,                     rated JOLs, and completed a font-size test in which they indicated the font size                     at study and a standard old/new recognition test. The results confirmed that                     font size affected both JOLs and confidence ratings. The presentation of the                     counter-belief that memory is better for words in small font size in Experiment                     2 and the analyses of confidence for participants who did not believe that large                     fonts improved memory suggested that the effect of font size on confidence was                     based on beliefs. This research shows that the debate on theory-based and                     experience-based factors should not be limited to prospective metamemory                     judgments but also encompass retrospective judgments.","2022-05","2026-03-30 02:07:11","2026-07-17 08:19:44","2026-03-30 02:07:11","172-184","","3","69","","","","43","","","","Hogrefe Publishing","","","","","","","econtent.hogrefe.com (Atypon)","","","","C:\Users\moin\Zotero\storage\3J8MP6ZR\Luna and Albuquerque - 2022 - Do Beliefs About Font Size Affect Retrospective Metamemory Judgments                     in Addition.pdf","","Registered Report","beliefs; confidence; font size; metamemory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CYV9DY7","journalArticle","2020","Tzavella, Loukia; Maizey, Leah; Lawrence, Andrew D.; Chambers, Christopher D.","The affective priming paradigm as an indirect measure of food attitudes and related choice behaviour","Psychonomic Bulletin & Review","","1531-5320","10.3758/s13423-020-01764-1","https://doi.org/10.3758/s13423-020-01764-1","In this Registered Report, we assessed the utility of the affective priming paradigm (APP) as an indirect measure of food attitudes and related choice behaviour in two separate cohorts. Participants undertook a speeded evaluative categorization task in which target words were preceded by food primes that differed in terms of affective congruence with the target, explicit liking (most liked or least liked), and healthiness (healthy or unhealthy). Non-food priming effects were tested as a manipulation check, and the relationship between food priming effects and impulsive choice behaviour was also investigated using a binary food choice task. As predicted, priming effects were observed for both healthy and unhealthy foods, but there was no difference in the magnitude of these effects. This may suggest that the paradigm is most sensitive to affective, but not cognitive, components of attitudes (i.e., healthiness), but alternative theoretical explanations and implications of this finding are discussed. Food and non-food priming effects were observed in both reaction time (RT) and error rate (ER) data, but contrary to expectations, we found no association between food RT priming effects and choice behaviour. All findings from confirmatory analyses regarding RT and ER priming effects, and the absence of the expected correlations between priming effects and impulsive food choices, were successfully replicated in the online cohort of participants. Overall, this study confirms the robustness of the APP as an indirect measure of food liking and raises questions about its applied value for research of eating behaviours.","2020-12-01","2026-03-30 01:58:02","2026-07-17 08:29:29","2026-03-30 01:58:02","1397-1415","","6","27","","Psychon Bull Rev","","90","","","","","","en","","","","","Springer Link","","","","C:\Users\moin\Zotero\storage\UJDS39ZU\Tzavella et al. - 2020 - The affective priming paradigm as an indirect measure of food attitudes and related choice behaviour.pdf","","Registered Report","Affective priming; Choice; Foods; Healthiness; Liking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GZQT8M7","journalArticle","2021","Marr, Carey; Sauerland, Melanie; Otgaar, Henry; Quaedflieg, Conny W.E.M.; Hope, Lorraine","Mitigating the negative effects of retrieval stress on memory: an arousal reappraisal intervention","Memory","","0965-8211","10.1080/09658211.2021.1893750","https://doi.org/10.1080/09658211.2021.1893750","In a preregistered experiment, we examined the efficacy of arousal reappraisal as an intervention for reducing the negative effects of stress at retrieval on memory. Participants (N = 177) were semi-randomly assigned to one of three conditions: a Stress-intervention condition, a Stress-placebo condition, and a No-stress-placebo control condition. Participants viewed four images of complex, mildly negatively valenced scenes. One day later, they received an arousal reappraisal intervention or placebo before exposure to a laboratory stressor (or a control version for the No-stress condition). Participants were then tested on their memory of the images using a free recall instruction and multiple-choice recognition questions. As expected, negative affect and blood pressure increased for the stress conditions but not the control condition. Contrary to our hypotheses, memory performance did not statistically significant differ between the Stress-placebo condition and the No-stress-placebo control condition, indicating a lack of negative effects of acute retrieval stress on memory. Furthermore, we also found no statistically significant differences between the Stress-intervention condition and Stress-placebo condition in terms of memory performance, suggesting that the intervention did not assist with enhancing memory. We integrate interpretations of the findings from this study with a discussion of avenues for future research in this area.","2021-03-16","2026-03-30 01:51:24","2026-07-17 08:23:00","2026-03-30 01:51:24","330-344","","3","29","","","Mitigating the negative effects of retrieval stress on memory","70","","","","Routledge","","","","","","","Taylor and Francis+NEJM","","_eprint: https://doi.org/10.1080/09658211.2021.1893750","","C:\Users\moin\Zotero\storage\ZF3X83SM\Marr et al. - 2021 - Mitigating the negative effects of retrieval stress on memory an arousal reappraisal intervention.pdf","","Registered Report","recognition; stress; arousal reappraisal; eyewitness; free recall; memory; memory enhancement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QJLJFQF","journalArticle","2019","Zgonnikov, Arkady; Atiya, Nadim A. A.; O’Hora, Denis; Rañò, Iñaki; Wong-Lin, KongFatt","Beyond reach: Do symmetric changes in motor costs affect decision making? A registered report","Judgment and Decision Making","","1930-2975","10.1017/S1930297500006136","https://www.cambridge.org/core/journals/judgment-and-decision-making/article/beyond-reach-do-symmetric-changes-in-motor-costs-affect-decision-making-a-registered-report/8458A793F89F41D94FEA159EF7464DAB","Executing an important decision can be as easy as moving a mouse cursor or reaching towards the preferred option with a hand. But would we decide differently if choosing required walking a few steps towards an option? More generally, is our preference invariant to the means and motor costs of reporting it? Previous research demonstrated that asymmetric motor costs can nudge the decision-maker towards a less costly option. However, virtually all traditional decision-making theories predict that increasing motor costs symmetrically for all options should not affect choice in any way. This prediction is disputed by the theory of embodied cognition, which suggests that motor behavior is an integral part of cognitive processes, and that motor costs can affect our choices. In this registered report, we investigated whether varying motor costs can affect response dynamics and the final choices in an intertemporal choice task: choosing between a readily available small reward and a larger but delayed reward. Our study compared choices reported by moving a computer mouse cursor towards the preferred option with the choices executed via a more motor costly walking procedure. First, we investigated whether relative values of the intertemporal choice options affect walking trajectories in the same way as they affect mouse cursor dynamics. Second, we tested a hypothesis that, in the walking condition, increased motor costs of a preference reversal would decrease the number of changes-of-mind and therefore increase the proportion of impulsive, smaller-but-sooner choices. We confirmed the hypothesis that walking trajectories reflect covert dynamics of decision making, and rejected the hypothesis that increased motor costs of responding affect decisions in an intertemporal choice task. Overall, this study contributes to the empirical basis enabling the decision-making theories to address the complex interplay between cognitive and motor processes.","2019-07","2026-03-30 01:48:05","2026-07-17 08:32:47","2026-03-30 01:48:05","455-469","","4","14","","","Beyond reach","65","","","","","","en","","","","","Cambridge University Press","","","","C:\Users\moin\Zotero\storage\CZZT3LQF\Zgonnikov et al. - 2019 - Beyond reach Do symmetric changes in motor costs affect decision making A registered report.pdf","","Registered Report","intertemporal choice; motor costs; mouse tracking; response dynamics; walking path tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6456MUUH","journalArticle","2019","Brannon, Skylar M.; Carr, Sarah; Jin, Ellie Shuo; Josephs, Robert A.; Gawronski, Bertram","Exogenous testosterone increases sensitivity to moral norms in moral dilemma judgements","Nature Human Behaviour","","2397-3374","10.1038/s41562-019-0641-3","https://www.nature.com/articles/s41562-019-0641-3","","2019-07-22","2026-03-29 15:52:56","2026-07-17 08:07:52","2026-03-29 15:52:56","856-866","","8","3","","Nat Hum Behav","","77","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\moin\Zotero\storage\3IWAJ326\Brannon et al. - 2019 - Exogenous testosterone increases sensitivity to moral norms in moral dilemma judgements.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4D9R3HZD","journalArticle","2024","Fusco, Gabriele; Scandola, Michele; Lin, Hause; Inzlicht, Michael; Aglioti, Salvatore Maria","Modulating preferences during intertemporal choices through exogenous midfrontal transcranial alternating current stimulation: A registered report","Cortex","","0010-9452","10.1016/j.cortex.2023.09.019","","Decision conflicts may arise when the costs and benefits of choices are evaluated as a function of outcomes predicted along a temporal dimension. Electrophysiology studies suggest that during performance monitoring a typical oscillatory activity in the theta rhythm, named midfrontal theta, may index conflict processing and resolution. In the present within-subject, sham controlled, cross-over preregistered study, we delivered online midfrontal transcranial Alternating Current Stimulation (tACS) to modulate electrocortical activity during intertemporal decisions. Participants were invited to select choice preference between economic offers at three different intermixed levels of conflict (i.e., low, medium, high) while receiving either theta -, gamma-, or sham tACS in separate blocks and sessions. At the end of each stimulation block, a Letter-Flanker task was also administered to measure behavioural aftereffects. We hypothesized that theta-tACS would have acted on the performance monitoring system inducing behavioural changes (i.e., faster decisions and more impulsive choices) in high conflicting trials, rather than gammaand sham-tACS. Results very partially confirmed our predictions. Unexpectedly, both theta- and gamma-driven neuromodulation speeded-up decisions compared to sham. However, exploratory analyses revealed that such an effect was stronger in the highconflict decisions during theta-tACS. These findings were independent from the influence of the sensations induced by the electrical stimulation. Moreover, further analyses highlighted a significant association during theta-tACS between the selection of immediate offers in high-conflict trials and attentional impulsiveness, suggesting that individual factors may account for the tACS effects during intertemporal decisions. Finally, we did not capture long-lasting behavioural changes following tACS in the Flanker task. Our findings may inform scholars to improve experimental designs and boost the knowledge toward a more effective application of tACS.(c) 2023 Elsevier Ltd. All rights reserved.","2024-02","2026-03-25 20:24:08","2026-07-17 09:18:54","","435-464","","","171","","","","27","","","","ELSEVIER MASSON, CORP OFF","65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, 92442 PARIS, FRANCE","English","","","","","","","Type: Article","","C:\Users\moin\Zotero\storage\8Y92DD5T\Fusco et al. - 2024 - Modulating preferences during intertemporal choices through exogenous midfrontal transcranial altern.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LE8Z3W6","journalArticle","2024","Vu, Linh; Molho, Catherine; Soraperra, Ivan; Fiedler, Susann; Shalvi, Shaul","Giving (in) to help an identified person","Journal of Experimental Social Psychology","","0022-1031","10.1016/j.jesp.2023.104557","","People give more to a person in need when this person's identity is known. Such altruistic behaviors may arise from a genuine concern for the person, leading people to give. Alternatively, altruistic behavior may also arise from one's attempt to reduce the guilt of not giving, leading people to give in. Is the increased altruism towards an identified (vs. unidentified) charity recipient driven by a genuine concern for the person or by guilt? The current registered report addressed this question in two experiments (N = 3671), in which participants made allocation decisions in transparent vs. ambiguous settings with a predetermined (versus undetermined; Study 1) or an identified (versus unidentified; Study 2) child in need as the recipient. Consistent with our pre-registered hypothesis, results revealed that participants gave significantly less to undetermined/unidentified children in an ambiguous, compared with a transparent setting. However, in contrast to our predictions, predetermined/ identified children did not receive more than undetermined/unidentified children in transparent settings in which they know how their choice impacts the children. Accordingly, the predicted interaction between identification and ambiguity was not significant. Exploratory analyses revealed that participants who willingly resolve the ambiguity surrounding the impact of their choice gave more compared to those who were given transparent information by default. The results suggest that some people give in when making their donation decisions, but the tendency to give in is independent of whether the recipient is identified or not.","2024-01","2026-03-25 20:24:07","2026-08-04 18:23:22","","","","","110","","","","51","","","","ACADEMIC PRESS INC ELSEVIER SCIENCE","","English","","","","","","","Place: 525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA Type: Article","","C:\Users\moin\Zotero\storage\QLU2SWWK\Vu et al. - 2024 - Giving (in) to help an identified person.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46LT2RU6","journalArticle","2024","Dudek, Iwona; Polczyk, Romuald","Memory distrust and suggestibility: A registered report","Legal and Criminological Psychology","","1355-3259","10.1111/lcrp.12249","","PurposeThe study aimed to explore how memory distrust impacts two kinds of suggestibility: misinformation effect (Experiment 1) and interrogative suggestibility (Experiment 2). We verified whether recognizing discrepancies between personal memories and externally suggested information, along with certain individual differences, moderates the memory distrust-suggestibility link.MethodsExperiment 1 (N = 306) followed a classic three-step procedure with a discrepancy awareness test. In Experiment 2 (N = 316) a computerized version of the Gudjonsson Suggestibility Scale with a discrepancy awareness test was utilized. Both experiments manipulated the state of memory distrust and assessed participants' trait memory distrust, compliance, anxiety and self-esteem.ResultsWhile the effect of memory deterioration due to misinformation and suggestions was replicated, the hypotheses regarding the relationship between memory distrust and suggestibility were not confirmed. However, for interrogative suggestibility, individuals induced to doubt their own memory were more susceptible to suggestions when recognizing inconsistencies between the story and suggestive questions.ConclusionsFrom the theoretical side, the concept of memory distrust appears to be useful to explain the reasons for succumbing to suggestions. However, our findings indicate that memory distrust toward committing omission errors and the experimentally induced state appear unrelated (misinformation effect paradigm) or marginally related (memory distrust state and interrogative suggestibility) to the tendency to yield to suggestions. This prompts further research using a different operationalisation of this construct.","2024-02","2026-03-25 20:24:08","2026-07-17 09:21:47","","100-123","","1","29","","","","67","","","","WILEY","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Type: Article","","C:\Users\moin\Zotero\storage\R74BPQER\Dudek and Polczyk - 2024 - Memory distrust and suggestibility A registered report.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27KAT3TY","journalArticle","2025","Sezer, Berke; Gucciardi, Daniel F.; Ntoumanis, Nikos; Riddell, Hugh","Investigating the role of goal motives in predicting bedtime procrastination using a daily diary study design: a registered report","Psychology & Health","","0887-0446","10.1080/08870446.2025.2458871","","Objectives Previous operationalisations of bedtime procrastination were incongruent with its definition. We addressed this gap in knowledge by testing a new operationalisation that incorporates the three necessary and sufficient conditions of bedtime procrastination. We investigate the motivational antecedents of bedtime procrastination in daily life with this new operationalisation. Methods and Measures Participants (n = 336) self-reported goal motives, chronotype, and typical sleep metrics on a Sunday evening. For the following 7-days, participants self-assessed their 24-h sleep metrics, goal-regulatory variables, and psychological needs. Results The bedtime discrepancy scores from the new assessment correlate in expected direction with sleep quantity and chronotype. However, our findings pertaining to motivational correlates of bedtime procrastination showed low compatibility with our expectations. Discussion We introduced a new operationalisation of bedtime procrastination that aligns with its definition, and which can complement existing approaches that primarily encompass trait-like elements. Incorporating all three necessary and sufficient conditions of bedtime procrastination at the daily level suggests previous prevalence estimates of this sleep-related behaviour obtained with trait-like operationalisations may be overestimated. The low compatibility between our expectations regarding the motivational antecedents of bedtime procrastination suggest a need for congruence between the levels at which antecedents are captured with this sleep-related behaviour.","2025-01-23","2026-03-25 20:24:08","2026-07-17 09:22:17","","","","","","","","","83","","","","TAYLOR & FRANCIS LTD","","English","","","","","","","Place: 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND Type: Article; Early Access","","C:\Users\moin\Zotero\storage\JRPFHZP5\Sezer et al. - 2025 - Investigating the role of goal motives in predicting bedtime procrastination using a daily diary stu.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GHMG6BQ","journalArticle","2025","Dymarska, Agata; Connell, Louise","Sensorimotor effects in surprise word memory-A registered report","Cortex","","0010-9452","10.1016/j.cortex.2025.03.010","","Sensorimotor grounding of semantic information elicits inconsistent effects on word memory, depending on which type of experience is involved, with some aspects of sensorimotor information facilitating memory performance while others inhibit it. In particular, information relating to the body appears to impair word recognition memory by increasing false alarms, which may be due either to an adaptive advantage for survivalrelevant information (whereby words pertaining to the body spread activation to other concepts and generate a confusable memory trace) or to a somatic attentional mechanism (whereby words pertaining to the body activate a false sense of touch that renders their representations less distinctive as memory trace and retrieval cue). To date, the existing literature does not distinguish between these two explanations. We set out to adjudicate between them using a surprise (incidental) memory task, where participants study the words under a guise of a lexical decision task, which allowed us to examine how participants form a memory trace for words grounded in bodily experience. We found support for the somatic attentional account, as body-related words increased false alarms even when attention was not directed to them at the study phase. Overall, the results provide further evidence for the importance of distinctiveness in word memory, and suggest a reinterpretation of the role of semantic richness in word memory. (c) 2025 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC","2025-05","2026-03-25 20:24:08","2026-07-17 09:24:56","","99-115","","","186","","","","24","","","","ELSEVIER MASSON, CORP OFF","","English","","","","","","","Place: 65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, 92442 PARIS, FRANCE Type: Article","","C:\Users\moin\Zotero\storage\I98PPUCX\Dymarska and Connell - 2025 - Sensorimotor effects in surprise word memory-A registered report.pdf","","Registered Report","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
