id ,Journal
101,Acta Psychologica
102,Advances in Methods and Practices in Psychological Science
103,Analyses of Social Issues and Public Policy
104,Applied Cognitive Psychology
105,"Attention, Perception, and Psychophysics"
106,British Journal of Educational Psychology
107,British Journal of Health Psychology
108,British Journal of Psychology
109,British Journal of Social Psychology
110,Cognition and Emotion
111,Cognitive Research: Principles and Implications
112,Collabra
113,Consciousness and Cognition
114,Cortex
115,Developmental Cognitive Neuroscience
116,Developmental Science
117,Discourse Processes
118,Emerging Adulthood
119,European Journal of Personality
120,European Journal of Psychotraumatology
121,Evolution and Human Behavior
122,Experimental Psychology
123,Frontiers in Psychology
124,Infant and Child Development
125,International Journal of Eating Disorders
126,International Journal of Psychophysiology
127,i-Perception
128,Journal of Cognitive Psychology
129,Journal of Experimental Social Psychology
130,Journal of Neuropsychology
131,Journal of Personality and Social Psychology
132,Journal of Research in Personality
133,Journal of the American Academy of Child and Adolescent Psychiatry
134,Judgment and Decision Making
135,Law and Human Behavior
136,Legal and Criminological Psychology
137,Memory
138,Nature Human Behaviour
139,Neuroscience of Consciousness
140,Psychological Science
141,Psychology & Health
142,Psychology of Addictive Behaviors
143,Psychology of Sport and Exercise
144,Psychonomic Bulletin & Review
145,Psychophysiology
146,Quarterly Journal of Experimental Psychology
147,Stress and Health
